Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2001
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2001
size classes,New buildings,Conversion 1),"Demolition, fire etc.",Pure increase,2001
"more than 100,000 inhabitants",1656,-169,337,1150,2001
"10,001 - 100,000 inhabitants",7936,-10,383,7543,2001
"5,001 - 10,000 inhabitants",5064,318,164,5218,2001
"2,001 - 5,000 inhabitants",7469,519,226,7762,2001
"2,000 inhabitants or fewer",6748,1121,189,7680,2001
Agglomerations of the five largest cities,8768,67,638,8197,2001
1) Negative values indicate a decrease caused by conversion,8768,67,638,8197,2001
