Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,1998
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,1998
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,1998
"more than 100,000 inhabitants",1818,78,370,1526,1998
"10,001 - 100,000 inhabitants",7887,319,429,7777,1998
"5,001 - 10,000 inhabitants",6539,337,159,6717,1998
"2,001 - 5,000 inhabitants",9215,644,241,9618,1998
"2,000 inhabitants or fewer",8275,1415,161,9529,1998
Agglomerations of the five largest cities,10502,440,565,10377,1998
