Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2006
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2006
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,2006
"more than 100,000 inhabitants",2505,57,333,2229,2006
"10,001 - 100,000 inhabitants",12698,561,972,12287,2006
"5,001 - 10,000 inhabitants",7432,572,416,7588,2006
"2,001 - 5,000 inhabitants",11039,844,568,11315,2006
"2,000 inhabitants or fewer",8315,1172,252,9235,2006
Agglomerations of the five largest cities,14099,553,1083,13569,2006
