Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Epke Zonderland,Netherlands,7.9,8.633,,16.533
2,Fabian Hambüchen,Germany,7.5,8.9,,16.4
3,Zou Kai,China,7.9,8.466,,16.366
4,Zhang Chenglong,China,7.7,8.566,,16.266
5,Danell Leyva,United States,7.2,8.633,,15.833
6,Jonathan Horton,United States,6.8,8.666,,15.466
7,Emin Garibov,Russia,7.1,8.233,,15.333
8,Kim Ji-hoon,South Korea,7.1,8.033,,15.133
