Name,Date,Competition,Round,VT,UB,BB,FX,AA
Sunisa Lee,2021-10-04,World Championships,EF,0.0,14.8,0.0,14.133,0.0
Sunisa Lee,2021-10-04,World Championships,AA,14.466,13.133,13.833,14.2,55.632
Sunisa Lee,2021-10-04,World Championships,TF,0.0,14.733,12.533,14.233,0.0
Sunisa Lee,2021-10-04,World Championships,QF,14.566,15.0,13.4,14.2,57.166
Sunisa Lee,2021-08-08,U.S. Worlds Trials,AA,14.55,15.0,14.55,14.1,58.2
Sunisa Lee,2021-08-08,U.S. Championships,AA,13.75,15.05,13.85,14.0,56.65
Sunisa Lee,2021-08-08,U.S. Championships,QF,13.85,14.75,14.35,13.95,56.9
Sunisa Lee,2021-07-20,U.S. Classic,AA,0.0,14.65,13.9,0.0,0.0
Sunisa Lee,2021-06-22,American Classic,AA,0.0,11.65,14.3,0.0,0.0
Sunisa Lee,2021-03-02,City of Jesolo Trophy,EF,0.0,14.45,14.15,14.2,0.0
Sunisa Lee,2021-03-02,City of Jesolo Trophy,AA,14.2,14.7,13.233,14.333,56.466
Sunisa Lee,2022-07-23,Olympic Games,EF,0.0,14.5,13.866,0.0,0.0
Sunisa Lee,2022-07-23,Olympic Games,AA,14.6,15.3,13.833,13.7,57.433
Sunisa Lee,2022-07-23,Olympic Games,TF,0.0,15.4,14.133,13.666,0.0
Sunisa Lee,2022-07-23,Olympic Games,QF,14.333,15.2,14.2,13.433,57.166
Sunisa Lee,2022-06-24,U.S. Olympic Trials,AA,14.6,14.9,14.733,13.933,58.166
Sunisa Lee,2022-06-24,U.S. Olympic Trials,QF,14.4,15.3,14.733,13.233,57.666
Sunisa Lee,2022-06-03,U.S. Championships,AA,14.3,14.9,14.7,13.7,57.6
Sunisa Lee,2022-06-03,U.S. Championships,QF,14.4,15.3,13.9,13.75,57.35
Sunisa Lee,2022-05-21,U.S. Classic,AA,0.0,13.5,13.35,0.0,0.0
Sunisa Lee,2022-04-24,American Classic,AA,0.0,15.2,14.55,13.0,0.0
Sunisa Lee,2022-03-13,March National Team Camp,AA,0.0,14.55,13.6,0.0,0.0
Sunisa Lee,2022-02-26,Winter Cup,AA,0.0,15.05,14.25,0.0,0.0
Sunisa Lee,2023-08-24,U.S. Championships,AA,13.4,0.0,14.2,0.0,0.0
Sunisa Lee,2023-08-24,U.S. Championships,QF,13.35,0.0,13.65,0.0,0.0
Sunisa Lee,2023-08-04,U.S. Classic,AA,13.5,0.0,14.5,0.0,0.0
