Name,Date,Competition,Round,VT,UB,BB,FX,AA
Tiana Sumanasekera,2021-11-25,Junior Pan American Games,EF,13.95,0.0,0.0,0.0,0.0
Tiana Sumanasekera,2021-11-25,Junior Pan American Games,AA,14.4,10.0,12.15,13.0,49.55
Tiana Sumanasekera,2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,0.0,14.05,13.3,0.0
Tiana Sumanasekera,2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.3,11.25,13.8,11.9,51.25
Tiana Sumanasekera,2021-05-21,U.S. Classic,AA,13.85,10.85,13.4,12.05,50.15
Tiana Sumanasekera,2021-05-21,American Classic,AA,13.95,10.95,12.25,13.15,50.3
Tiana Sumanasekera,2021-02-26,Winter Cup,AA,13.65,10.65,12.45,13.05,49.8
Tiana Sumanasekera,2022-08-18,U.S. Championships,AA,14.0,10.25,13.35,13.6,51.2
Tiana Sumanasekera,2022-08-18,U.S. Championships,QF,14.15,10.95,12.6,13.55,51.25
Tiana Sumanasekera,2022-07-14,Pan American Championships,EF,13.45,0.0,13.2,13.133,0.0
Tiana Sumanasekera,2022-07-14,Pan American Championships,AA,14.1,10.467,13.7,13.3,51.567
Tiana Sumanasekera,2022-07-04,U.S. Pan Ams Trials,EF,0.0,11.6,13.7,0.0,0.0
Tiana Sumanasekera,2022-07-04,U.S. Pan Ams Trials,AA,14.15,11.65,13.25,13.65,52.7
Tiana Sumanasekera,2022-04-09,City of Jesolo Trophy,EF,13.5,0.0,13.8,12.85,0.0
Tiana Sumanasekera,2022-04-09,City of Jesolo Trophy,AA,13.867,11.933,13.633,13.067,52.5
Tiana Sumanasekera,2022-03-31,March National Team Camp,AA,12.5,11.4,13.75,13.4,51.05
Tiana Sumanasekera,2022-03-18,DTB Pokal Team Challenge,EF,13.683,0.0,13.166,0.0,0.0
Tiana Sumanasekera,2022-03-18,DTB Pokal Team Challenge,AA,14.1,0.0,12.766,12.566,0.0
Tiana Sumanasekera,2022-02-24,Winter Cup,AA,13.7,9.5,13.85,13.35,50.4
Tiana Sumanasekera,2023-08-24,U.S. Championships,AA,14.2,11.55,13.85,13.15,52.75
Tiana Sumanasekera,2023-08-24,U.S. Championships,QF,14.1,12.8,13.3,12.95,53.15
Tiana Sumanasekera,2023-08-04,U.S. Classic,AA,14.15,11.55,13.5,12.9,52.1
Tiana Sumanasekera,2023-07-09,July National Team Camp,AA,14.0,12.45,13.6,13.2,53.25
Tiana Sumanasekera,2023-05-26,Pan American Championships,TF,14.233,0.0,13.967,13.7,0.0
Tiana Sumanasekera,2023-05-26,Pan American Championships,AA,13.933,12.633,13.737,13.567,53.9
Tiana Sumanasekera,2023-04-30,Pan American Trials,AA,14.25,12.9,13.45,13.1,53.7
Tiana Sumanasekera,2023-02-23,Winter Cup,AA,0.0,12.9,12.6,0.0,0.0
