Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Aliya Mustafina,Russia,7.000,9.133,,16.133
2,He Kexin,China,7.100,8.833,,15.933
3,Beth Tweddle,Great Britain,7.000,8.916,,15.916
4,Yao Jinnan,China,6.800,8.966,,15.766
5,Viktoria Komova,Russia,7.000,8.666,,15.666
6,Elisabeth Seitz,Germany,6.700,8.566,,15.266
7,Kōko Tsurumi,Japan,6.400,8.566,,14.966
8,Gabby Douglas,United States,6.300,8.600,,14.900
