Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Aly Raisman,United States,6.5,9.1,,15.6
2,Cătălina Ponor,Romania,6.2,9,,15.2
3,Aliya Mustafina,Russia,5.9,9,,14.9
4,Vanessa Ferrari,Italy,6.2,8.7,,14.9
5,Lauren Mitchell,Australia,6.4,8.433,,14.833
6,Ksenia Afanasyeva,Russia,6.1,8.666,0.2,14.566
7,Jordyn Wieber,United States,6.1,8.5,0.1,14.5
8,Sandra Izbașa,Romania,5.6,8.033,0.3,13.333
