Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Deng Linlin,China,6.6,9,,15.6
2,Sui Lu,China,6.5,9,,15.5
3,Aly Raisman,United States,6.3,8.766,,15.066
4,Cătălina Ponor,Romania,6.6,8.466,,15.066
5,Ksenia Afanasyeva,Russia,5.8,8.783,,14.583
6,Larisa Iordache,Romania,6.4,7.8,,14.2
7,Gabby Douglas,United States,6,7.633,,13.633
8,Viktoria Komova,Russia,6.2,6.966,,13.166
