Rank,Athlete,Nation,D,E,ND,Score
1,Larisa Iordache,Romania,5.8,8.625,,14.425
2,Diana Bulimar,Romania,5.7,8.6,,14.3
3,Isabela Onyshko,Canada,5.5,8.325,-0.1,13.725
4,Lauren Mitchell,Australia,5.5,8.075,-0.1,13.475
5,Charlotte Sullivan,New Zealand,5.5,7.45,,12.95
6,Dorina Böczögö,Hungary,5.5,7.8,-0.5,12.8
7,Sasa Golob,Slovenia,5.3,7.825,-0.4,12.725
8,Laura Schulte,Switzerland,5,7.675,-0.1,12.575
