Position,Gymnast,v1_D_Score,v1_E_Score,v1_Penalty,Score 1,v2_D_Score,v2_E_Score,Penalty,v2_Score 2,Total
,Shin Jea-hwan(KOR),6,8.833,0.1,14.733,5.6,9.2+C333,,14.833,14.783
,Denis Ablyazin(ROC),5.6,9.166,,14.766,5.6,9.2,,14.8,14.783
,Artur Davtyan(ARM),5.6,9.2,,14.8,5.6,9.166,0.1,14.666,14.733
4,Carlos Yulo(PHI),5.6,9.066,0.1,14.566,5.6,9.266,,14.866,14.716
5,Nikita Nagornyy(ROC),5.6,9.233,,14.833,5.6,9,,14.6,14.716
6,Adem Asil(TUR),6,9.266,,15.266,5.6,8.033,,13.633,14.449
7,Ahmet Önder(TUR),5.2,8.633,,13.833,5.2,9.1,,14.3,14.066
8,Caio Souza(BRA),5.6,8.866,,14.466,5.2,7.7,,12.9,13.683
