Date,Competition,,VT,UB,BB,FX,AA
Oct 29-Nov 6,World Championships,EF,14.350*,0,0,13.833,0
Oct 29-Nov 6,World Championships,TF,14.4,14.1,13.333,14,55.833
Oct 29-Nov 6,World Championships,QF,14.466,14.066,11.366,14.1,53.998
Oct 21-22,U.S. Worlds Trials,EF,0,14.25,13.6,0,0
Oct 21-22,U.S. Worlds Trials,AA,14.2,14.35,13.3,14.25,56.1
Sep 24-25,Paris Challenge Cup,EF,14.025*,13.75,0,14.05,0
Sep 24-25,Paris Challenge Cup,QF,13.950*,13.4,0,13.5,0
Aug 18-21,U.S. Championships,AA,14.3,14.1,13.45,13.9,55.75
Aug 18-21,U.S. Championships,QF,14.35,14.25,13.6,13.95,56.15
