Position,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,Score 2,total
1,Giulia Steingruber,5.8,9.266,,15.066,5.4,9.183,,14.583,14.824
2,Jessica Gadirova,5.4,9.2,,14.6,5.2,9.133,,14.333,14.466
3,Angelina Melnikova,5.4,9.2,,14.6,5.2,9.033,,14.233,14.416
4,Anastasiia Motak,5.4,8.633,0.1,13.933,4.8,8.666,,13.466,13.699
5,Tjaša Kysselef,5,8.7,,13.7,4.8,8.833,,13.633,13.666
6,Csenge Bácskay,5,8.766,,13.766,4.8,8.733,,13.533,13.649
7,Marina Nekrasova,5,7.533,0.1,12.433,5.2,8.733,,13.933,13.183
8,Sára Péter,5.4,7.566,,12.966,0,0,,0,6.483
