0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Artur Davtyan,Armenia,5.6,9.400,-0.1,14.900,14.900
1,Artur Davtyan,Armenia,5.6,9.400,-0.1,14.900,14.900
2,Carlos Yulo,Philippines,6.0,8.833,-0.1,14.733,14.849
2,Carlos Yulo,Philippines,5.6,9.366,,14.966,14.849
3,Gabriel Burtanete,Romania,5.6,9.200,,14.800,14.633
3,Gabriel Burtanete,Romania,5.6,8.866,,14.466,14.633
4,Igor Radivilov,Ukraine,5.6,9.100,,14.700,14.566
4,Igor Radivilov,Ukraine,5.6,8.833,,14.433,14.566
5,Caio Souza,Brazil,5.6,8.933,,14.533,14.566
5,Caio Souza,Brazil,5.6,9.000,,14.600,14.566
6,Lee Junho,South Korea,5.6,9.000,,14.600,14.450
6,Lee Junho,South Korea,5.2,9.100,,14.300,14.450
7,Tanigawa Wataru,Japan,5.6,8.800,,14.400,14.450
7,Tanigawa Wataru,Japan,5.6,8.900,,14.500,14.450
8,Kim Hansol,South Korea,5.6,9.100,,14.700,14.433
8,Kim Hansol,South Korea,5.2,8.966,,14.166,14.433
9,Adem Asil,Turkey,5.6,8.333,,13.933,14.333
9,Adem Asil,Turkey,5.6,9.133,,14.733,14.333
10,Yuri Guimarães,Brazil,5.2,9.000,,14.200,14.216
10,Yuri Guimarães,Brazil,5.2,9.033,,14.233,14.216
11,Courtney Tulloch,Great Britain,5.6,9.100,,14.700,14.200
11,Courtney Tulloch,Great Britain,6.0,7.800,-0.1,13.700,14.200
12,Artem Dolgopyat,Israel,5.6,8.833,-0.3,14.133,14.149
12,Artem Dolgopyat,Israel,5.2,9.066,-0.1,14.166,14.149
13,Jake Jarman,Great Britain,5.6,9.100,-0.1,14.600,14.133
13,Jake Jarman,Great Britain,6.0,7.966,-0.3,13.666,14.133
14,Ivan Tikhonov,Azerbaijan,5.6,8.766,,14.366,14.083
14,Ivan Tikhonov,Azerbaijan,5.6,8.200,,13.800,14.083
15,Asher Hong,United States,6.0,8.533,-0.1,14.433,13.999
15,Asher Hong,United States,6.0,7.666,-0.1,13.566,13.999
16,Omar Mohamed,Egypt,5.2,8.866,-0.3,13.766,13.983
16,Omar Mohamed,Egypt,5.2,9.000,,14.200,13.983
17,David Rumbutis,Sweden,4.8,9.200,,14.000,13.966
17,David Rumbutis,Sweden,4.8,9.233,-0.1,13.933,13.966
18,Ewan McAteer,Ireland,5.2,8.766,,13.966,13.916
18,Ewan McAteer,Ireland,5.2,8.766,-0.1,13.866,13.916
19,Giarnni Regini-Moran,Great Britain,5.6,9.033,,14.633,13.833
19,Giarnni Regini-Moran,Great Britain,5.2,7.933,-0.1,13.033,13.833
20,Andrey Medvedev,Israel,5.6,7.900,,13.500,13.800
20,Andrey Medvedev,Israel,5.6,8.500,,14.100,13.800
21,James Bacueti,Australia,5.6,7.800,-0.3,13.100,13.750
21,James Bacueti,Australia,5.6,8.900,-0.1,14.400,13.750
22,Shek Wai Hung,Hong Kong,5.6,8.700,-0.3,14.000,13.616
22,Shek Wai Hung,Hong Kong,5.6,7.933,-0.3,13.233,13.616
23,Leandro Peña,Dominican Republic,5.2,8.433,-0.1,13.533,13.583
23,Leandro Peña,Dominican Republic,4.8,8.833,,13.633,13.583
24,Tseng Wei-Sheng,Taiwan,5.6,7.933,-0.6,12.933,13.549
24,Tseng Wei-Sheng,Taiwan,5.2,8.966,,14.166,13.549
25,William Fu-Allen,New Zealand,4.8,8.766,,13.566,12.783
25,William Fu-Allen,New Zealand,4.0,8.100,-0.1,12.000,12.783
26,Akseli Karsikas,Finland,4.8,7.600,-0.1,12.300,12.650
26,Akseli Karsikas,Finland,5.2,8.100,-0.3,13.000,12.650
27,Ricards Plate,Latvia,4.0,8.966,,12.966,12.499
27,Ricards Plate,Latvia,3.2,8.833,,12.033,12.499
—,Harald Wibye,Norway,4.8,9.100,,13.900,DNF
—,Harald Wibye,Norway,DNS,DNS,,DNS,DNF
—,Leo Saladino,France,4.4,8.866,-0.1,13.166,DNF
—,Leo Saladino,France,DNS,DNS,,DNS,DNF
—,Andrin Frey,Switzerland,5.0,7.900,-0.3,12.600,DNF
—,Andrin Frey,Switzerland,DNS,DNS,,DNS,DNF
—,Donnell Whittenburg,United States,0.0,0.000,,0.000,DNF
—,Donnell Whittenburg,United States,DNS,DNS,,DNS,DNF
