0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Zou Jingyuan,China,6.5,9.200,,15.700
2,Kamoto Yuya,Japan,6.5,8.933,,15.433
3,Lukas Dauser,Germany,6.6,8.800,,15.400
4,Carlos Yulo,Philippines,6.3,9.000,,15.300
5,Ferhat Arican,Turkey,6.6,8.600,,15.200
6,Jossimar Calvo,Colombia,6.7,8.466,,15.166
7,Joe Fraser,Great Britain,6.5,8.566,,15.066
8,Giarnni Regini-Moran,Great Britain,6.4,8.566,,14.966
9,Illia Kovtun,Ukraine,6.6,8.366,,14.966
10,Tanigawa Kakeru,Japan,6.3,8.633,,14.933
11,Zhang Boheng,China,6.4,8.500,,14.900
12,Colt Walker,United States,6.2,8.666,,14.866
13,Tanigawa Wataru,Japan,6.3,8.566,,14.866
14,Marios Georgiou,Cyprus,6.1,8.733,,14.833
15,Nicolau Mir,Spain,5.9,8.866,,14.766
16,Hashimoto Daiki,Japan,6.1,8.633,,14.733
17,Joel Plata,Spain,5.8,8.866,,14.666
18,Andrei Muntean,Romania,5.9,8.700,,14.600
19,Asher Hong,United States,6.0,8.600,,14.600
20,Matteo Levantesi,Italy,5.9,8.633,,14.533
21,Krisztian Balazs,Hungary,6.1,8.433,,14.533
22,Krisztofer Meszaros,Hungary,6.2,8.300,,14.500
23,Samuel Zakutney,Canada,5.8,8.600,,14.400
24,Thierno Diallo,Spain,6.1,8.266,,14.366
25,Luka van den Keybus,Belgium,6.0,8.333,,14.333
26,Nestor Abad,Spain,5.8,8.500,,14.300
27,Hung Yuan-Hsi,Taiwan,5.9,8.400,,14.300
28,Rasuljon Abdurakhimov,Uzbekistan,6.0,8.233,,14.233
29,Harald Wibye,Norway,5.4,8.800,,14.200
30,Jake Jarman,Great Britain,5.9,8.266,,14.166
31,Nils Dunkel,Germany,6.0,8.133,,14.133
32,Nicola Bartolini,Italy,5.1,9.000,,14.100
33,Diogo Soares,Brazil,5.5,8.600,,14.100
34,Botond Kardos,Hungary,5.2,8.766,,13.966
35,Casimir Schmidt,Netherlands,5.5,8.466,,13.966
36,David Huddleston,Bulgaria,5.7,8.266,,13.966
,Leo Saladino,France,5.7,8.266,,13.966
,Brody Malone,United States,5.7,8.266,,13.966
39,Ivan Tikhonov,Azerbaijan,5.6,8.266,,13.866
,Zachary Clay,Canada,5.6,8.266,,13.866
,Omar Mohamed,Egypt,5.6,8.266,,13.866
,Taha Serhani,Switzerland,5.6,8.266,,13.866
43,Noah Kuavita,Belgium,5.8,8.066,,13.866
,Mohamed Afify,Egypt,5.8,8.066,,13.866
45,Felix Dolci,Canada,5.9,7.966,,13.866
46,Mykyta Melnykov,Ukraine,6.0,7.866,,13.866
47,Mathias Philippe,France,5.6,8.233,,13.833
48,Moreno Kratter,Switzerland,5.9,7.933,,13.833
49,Kim Jaeho,South Korea,5.4,8.366,,13.766
50,Ryu Sunghyun,South Korea,5.6,8.166,,13.766
,Loran de Munck,Netherlands,5.6,8.166,,13.766
52,Yumin Abbadini,Italy,5.3,8.400,,13.700
53,Paul Degouy,France,5.5,8.200,,13.700
54,Pascal Brendel,Germany,5.3,8.366,,13.666
55,Donnell Whittenburg,United States,5.8,7.866,,13.666
56,Utkirbek Juraev,Uzbekistan,5.6,8.033,,13.633
57,Mikhail Koudinov,New Zealand,6.2,7.433,,13.633
58,Yogeshwar Singh,India,4.9,8.666,,13.566
59,Elias Koski,Finland,5.5,8.066,,13.566
60,Isaac Nuñez,Mexico,5.8,7.766,,13.566
61,Stefanos Tsolakidis,Greece,6.1,7.466,,13.566
62,Tang Chia-Hung,Taiwan,4.9,8.633,,13.533
63,Tomas Kuzmickas,Lithuania,5.0,8.533,,13.533
64,Abdulla Azimov,Uzbekistan,5.1,8.433,,13.533
65,Takumi Onoshima,Belgium,5.6,7.933,,13.533
66,Maxime Gentges,Belgium,5.0,8.500,,13.500
67,Razvan-Denis Marc,Romania,5.2,8.300,,13.500
68,Gabriel Burtanete,Romania,5.3,8.200,,13.500
69,Gaurav Kumar,India,5.5,8.000,,13.500
