0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Carlos Yulo,Philippines,6.4,8.866,,15.266
2,Doi Ryosuke,Japan,6.2,8.566,,14.766
3,Milad Karimi,Kazakhstan,6.3,8.433,,14.733
4,Giarnni Regini-Moran,Great Britain,6.2,8.333,,14.533
5,Zhang Boheng,China,6.1,8.400,,14.500
6,Ryu Sunghyun,South Korea,5.9,8.566,,14.466
7,Hashimoto Daiki,Japan,6.0,8.466,,14.466
8,Nicola Bartolini,Italy,5.9,8.533,,14.433
9,Tanigawa Kakeru,Japan,5.8,8.500,,14.300
10,Benjamin Osberger,France,5.6,8.666,,14.266
11,Aurel Benovic,Croatia,6.1,8.366,-0.2,14.266
12,Kim Hansol,South Korea,6.0,8.266,,14.266
13,Krisztofer Meszaros,Hungary,6.0,8.333,-0.1,14.233
14,Tang Chia-Hung,Taiwan,5.5,8.666,,14.166
15,Tanigawa Wataru,Japan,5.6,8.566,,14.166
16,James Hall,Great Britain,5.8,8.366,,14.166
17,Adem Asil,Turkey,5.8,8.333,,14.133
18,Donnell Whittenburg,United States,6.4,7.733,,14.133
19,Arthur Mariano,Brazil,5.5,8.600,,14.100
20,William Emard,Canada,5.7,8.400,,14.100
21,Yuri Guimarães,Brazil,5.9,8.166,,14.066
22,Rayderley Zapata,Spain,6.2,7.833,-0.1,13.933
23,Joe Fraser,Great Britain,5.7,8.300,-0.1,13.900
24,Jake Jarman,Great Britain,6.7,7.200,,13.900
25,Botond Kardos,Hungary,5.7,8.166,,13.866
26,Asher Hong,United States,6.0,7.966,-0.1,13.866
27,Lorenzo Casali,Italy,5.5,8.333,,13.833
28,Moreno Kratter,Switzerland,5.9,7.933,,13.833
29,Dominick Cunningham,Ireland,5.7,8.100,,13.800
,Ahmet Önder,Turkey,5.7,8.100,,13.800
31,Casimir Schmidt,Netherlands,5.8,8.000,,13.800
32,Omar Mohamed,Egypt,5.5,8.233,,13.733
33,Luka van den Keybus,Belgium,5.5,8.200,,13.700
34,Yumin Abbadini,Italy,5.1,8.566,,13.666
