0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Rhys McClenaghan,Ireland,6.3,8.933,,15.233
2,Stephen Nedoroscik,United States,6.4,8.833,,15.233
3,Nariman Kurbanov,Kazakhstan,6.3,8.733,,15.033
4,Loran de Munck,Netherlands,6.4,8.433,,14.833
5,Harutyun Merdinyan,Armenia,6.1,8.600,,14.700
6,Doi Ryosuke,Japan,6.1,8.366,,14.466
7,Filip Ude,Croatia,5.8,8.600,,14.400
8,Ahmad Abu Al Soud,Jordan,6.3,8.066,,14.366
9,Abdulla Azimov,Uzbekistan,6.1,8.200,,14.300
10,Tanigawa Wataru,Japan,6.3,7.966,,14.266
11,Zachary Clay,Canada,5.7,8.500,,14.200
12,Nils Dunkel,Germany,6.1,8.066,,14.166
13,James Hall,Great Britain,6.2,7.833,,14.033
14,Zhang Boheng,China,6.0,8.000,,14.000
15,Yumin Abbadini,Italy,5.5,8.466,,13.966
16,Artem Dolgopyat,Israel,5.7,8.166,,13.866
17,Tanigawa Wataru,Japan,5.8,7.933,,13.733
,Illia Kovtun,Ukraine,5.8,7.933,,13.733
19,You Hao,China,5.8,7.833,,13.633
20,Khabibullo Ergashev,Uzbekistan,5.6,8.000,,13.600
21,Diogo Soares,Brazil,5.3,8.266,,13.566
22,Jake Jarman,Great Britain,5.2,8.333,,13.533
23,Noe Seifert,Switzerland,5.9,7.633,,13.533
24,Casimir Schmidt,Netherlands,5.6,7.900,,13.500
25,Thierno Diallo,Spain,6.0,7.500,,13.500
26,Andreas Toba,Germany,5.6,7.833,,13.433
27,Brody Malone,United States,5.7,7.733,,13.433
28,Giarnni Regini-Moran,Great Britain,5.8,7.633,,13.433
29,Balazs Kiss,Hungary,5.4,7.966,,13.366
30,Mohamed Afify,Egypt,5.3,8.000,,13.300
31,Jossimar Calvo,Colombia,5.6,7.700,,13.300
,Asher Hong,United States,5.6,7.700,,13.300
33,Benjamin Osberger,France,5.8,7.500,,13.300
34,Carlo Macchini,Italy,5.2,8.033,,13.233
35,Javier Sandoval,Colombia,5.3,7.900,,13.200
36,Lorenzo Casali,Italy,4.8,8.366,,13.166
37,Ahmed Abdelrahman,Egypt,4.9,8.266,,13.166
38,Caio Souza,Brazil,5.4,7.766,,13.166
39,Ilyas Azizov,Kazakhstan,5.3,7.800,,13.100
40,Ryu Sunghyun,South Korea,5.1,7.933,,13.033
41,Benedek Tomcsanyi,Hungary,5.3,7.733,,13.033
42,Lin Guan-Yi,Taiwan,4.6,8.400,,13.000
43,Tang Chia-Hung,Taiwan,4.7,8.300,,13.000
44,Ferhat Arican,Turkey,5.4,7.600,,13.000
45,Lee Junghyo,South Korea,5.6,7.400,,13.000
