0,1,2,3,4,5,6,7,8
Rank,Nation,FX,PH,SR,VT,PB,HB,Total
1,CHINA,42.332,41.032,43.632,43.332,44.998,42.532,257.858
1,Sun Wei,13.866,13.633,——,13.833,——,14.666,257.858
1,Yang Jiaxing,14.200,13.433,——,14.533,——,13.433,257.858
1,You Hao,——,——,14.633,——,14.866,——,257.858
1,Zhang Boheng,14.266,13.966,14.133,14.966,14.366,14.433,257.858
1,Zou Jingyuan,——,——,14.866,——,15.766,——,257.858
2,JAPAN,43.366,38.466,42.199,43.332,43.999,42.033,253.395
2,Doi Ryosuke,14.366,13.033,——,14.700,——,14.700,253.395
2,Hashimoto Daiki,14.500,14.433,13.866,13.866,——,13.133,253.395
2,Kamoto Yuya,——,——,14.233,——,14.766,14.200,253.395
2,Tanigawa Kakeru,14.500,11.000,——,——,14.300,——,253.395
2,Tanigawa Wataru,——,——,14.100,14.766,14.933,——,253.395
3,GREAT BRITAIN,42.799,35.232,42.299,42.833,43.266,40.800,247.229
3,Joe Fraser,——,10.466,14.033,——,15.000,14.000,247.229
3,James Hall,14.200,12.200,13.600,——,14.033,13.700,247.229
3,Jake Jarman,14.433,12.566,——,13.733,——,13.100,247.229
3,Giarnni Regini-Moran,14.166,——,——,14.600,14.233,——,247.229
3,Courtney Tulloch,——,——,14.666,14.500,——,——,247.229
4,ITALY,41.766,38.366,39.499,42.933,42.065,41.366,245.995
4,Yumin Abbadini,13.733,12.300,13.033,——,——,13.633,245.995
4,Nicola Bartolini,14.333,12.766,——,14.600,13.866,——,245.995
4,Lorenzo Casali,13.700,——,13.300,14.533,13.933,——,245.995
4,Carlo Macchini,——,13.300,——,——,——,14.300,245.995
4,Matteo Levantesi,——,——,13.166,13.800,14.266,13.433,245.995
5,UNITED STATES,40.265,38.265,42.265,42.833,42.865,39.199,245.692
5,Asher Hong,13.933,13.566,14.033,14.533,14.533,——,245.692
5,Brody Malone,12.866,11.733,13.766,14.400,13.966,14.366,245.692
5,Stephen Nedoroscik,——,12.966,——,——,——,——,245.692
5,Colt Walker,——,——,——,13.900,14.366,11.700,245.692
5,Donnell Whittenburg,13.466,——,14.466,——,——,13.133,245.692
6,SPAIN,41.765,38.299,40.900,41.299,42.265,39.499,244.027
6,Nestor Abad,——,11.633,13.800,——,——,13.133,244.027
6,Thierno Diallo,——,13.533,——,——,14.266,——,244.027
6,Nicolau Mir,13.866,——,——,14.100,13.733,12.466,244.027
6,Joel Plata,13.966,13.133,13.500,14.666,14.266,13.900,244.027
6,Rayderley Zapata,13.933,——,13.600,12.533,——,——,244.027
7,BRAZIL,41.932,33.900,39.932,42.799,42.233,40.566,241.362
7,Lucas Bitencourt,——,10.600,12.966,——,13.633,——,241.362
7,Yuri Guimarães,14.366,——,——,13.733,——,——,241.362
7,Arthur Mariano,13.700,——,——,14.566,——,12.866,241.362
7,Diogo Soares,——,11.900,13.033,——,14.000,13.800,241.362
7,Caio Souza,13.866,11.400,13.933,14.500,14.600,13.900,241.362
8,SOUTH KOREA,40.299,31.566,38.766,42.232,40.932,39.033,232.828
8,Kim Hansol,13.133,——,——,13.666,——,——,232.828
8,Kim Jaeho,13.400,12.333,——,14.266,13.733,13.033,232.828
8,Lee Junghyo,——,10.300,12.400,——,13.466,——,232.828
8,Lee Junho,——,——,13.166,14.300,——,12.700,232.828
8,Ryu Sunghyun,13.766,8.933,13.200,——,13.733,13.300,232.828
