0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Courtney Tulloch,Great Britain,6.1,8.566,,14.666
2,Zou Jingyuan,China,6.3,8.366,,14.666
,Adem Asil,Turkey,6.3,8.366,,14.666
4,You Hao,China,6.5,8.133,,14.633
5,Vahagn Davtyan,Armenia,6.0,8.566,,14.566
6,Kamoto Yuya,Japan,6.4,8.100,,14.500
7,Artur Avetisyan,Armenia,5.9,8.566,,14.466
8,Donnell Whittenburg,United States,6.0,8.333,,14.333
9,Sokratis Pilakouris,Cyprus,5.9,8.233,,14.133
10,Carlos Yulo,Philippines,6.0,8.066,,14.066
11,Hashimoto Daiki,Japan,5.8,8.200,,14.000
12,Tanigawa Wataru,Japan,6.0,8.000,,14.000
13,Nikita Simonov,Azerbaijan,6.3,7.666,,13.966
14,Casimir Schmidt,Netherlands,5.5,8.433,,13.933
15,Joe Fraser,Great Britain,5.6,8.333,,13.933
16,Vinzenz Höck,Austria,6.2,7.733,,13.933
17,Asher Hong,United States,5.9,8.000,,13.900
18,Igor Radivilov,Ukraine,6.0,7.866,,13.866
19,Lin Guan-Yi,Taiwan,5.9,7.933,,13.833
20,Caio Souza,Brazil,6.0,7.800,,13.800
,Mehmet Ayberk Kosak,Turkey,6.0,7.800,,13.800
22,Ali Zahran,Egypt,6.1,7.700,,13.800
23,Brody Malone,United States,5.9,7.800,,13.700
24,Andreas Toba,Germany,5.5,8.166,,13.666
25,Rayderley Zapata,Spain,5.5,8.100,,13.600
26,Omar Mohamed,Egypt,5.6,8.000,,13.600
27,Yunus Gündogdu,Turkey,5.9,7.700,,13.600
28,Colt Walker,United States,5.0,8.566,,13.566
29,Mathias Philippe,France,5.5,8.066,,13.566
30,James Hall,Great Britain,5.2,8.266,,13.466
31,Nils Dunkel,Germany,5.5,7.966,,13.466
32,Lee Junho,South Korea,5.0,8.433,,13.433
33,Chris Kaji,Canada,5.5,7.933,,13.433
34,David Huddleston,Bulgaria,5.3,8.100,,13.400
35,Felix Dolci,Canada,5.0,8.366,,13.366
,Ryu Sunghyun,South Korea,5.0,8.366,,13.366
37,Toma Modoianu-Zseder,Romania,5.4,7.966,,13.366
,Tang Chia-Hung,Taiwan,5.4,7.966,,13.366
39,Andrei Muntean,Romania,5.3,8.033,,13.333
40,Joel Plata,Spain,5.0,8.300,,13.300
