0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Total
1,Artur Davtyan,Armenia,5.6,9.500,-0.1,15.000,15.050
1,Artur Davtyan,Armenia,5.6,9.500,,15.100,15.050
2,Carlos Yulo,Philippines,6.0,9.100,-0.1,15.000,14.950
2,Carlos Yulo,Philippines,5.6,9.300,,14.900,14.950
3,Igor Radivilov,Ukraine,5.6,9.200,,14.800,14.733
3,Igor Radivilov,Ukraine,5.6,9.066,,14.666,14.733
4,Gabriel Burtanete,Romania,5.6,9.066,,14.666,14.533
4,Gabriel Burtanete,Romania,5.6,8.800,,14.400,14.533
5,Caio Souza,Brazil,5.6,8.733,,14.333,14.416
5,Caio Souza,Brazil,5.6,8.900,,14.500,14.416
6,Lee Junho,South Korea,5.6,8.866,,14.466,14.316
6,Lee Junho,South Korea,5.2,8.966,,14.466,14.316
7,Tanigawa Wataru,Japan,5.6,8.666,-0.1,14.166,13.999
7,Tanigawa Wataru,Japan,4.8,9.033,,13.833,13.999
8,Kim Hansol,South Korea,5.6,9.300,,14.900,13.900
8,Kim Hansol,South Korea,5.2,8.000,-0.3,12.900,13.900
