Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Tanigawa Wataru Japan,14.166,13.733,14,14.4,14.866,13.566,84.731
2,Hashimoto Daiki Japan,14.466,11.666,14,14.7,14.733,15.1,84.665
3,Carlos Yulo Philippines,15.266,11.766,14.066,14.733,15.3,13.533,84.664
4,Joe Fraser Great Britain,13.9,12.533,13.933,14.266,15.066,14.266,83.964
5,Zhang Boheng China,14.5,14,12.033,13.6,14.9,14.733,83.766
6,Asher Hong United States,13.866,13.3,13.9,14.433,14.6,13.2,83.299
7,Joel Plata Spain,13.5,12.9,13.3,14.6,14.666,13.833,82.799
8,Brody Malone United States,12.766,13.433,13.7,14.333,13.966,14.433,82.631
9,Casimir Schmidt Netherlands,13.8,13.5,13.933,14.333,13.966,13.033,82.565
10,Caio Souza Brazil,13.566,13.166,13.8,14.533,13.166,14.333,82.564
11,Jake Jarman Great Britain,13.9,13.533,13.066,14.6,14.166,13.1,82.365
12,Diogo Soares Brazil,13.466,13.566,13.066,14.1,14.1,13.966,82.264
13,Ryu Sunghyun South Korea,14.466,13.033,13.366,13.666,13.766,13.633,81.93
14,Adem Asil Turkey,14.133,12.933,14.666,13.933,12.533,13.566,81.764
15,Illia Kovtun Ukraine,12.7,13.733,12.4,14.4,14.966,13.533,81.732
16,Yumin Abbadini Italy,13.666,13.966,13,13.6,13.7,13.6,81.532
17,Tang Chia-Hung Taiwan,14.166,13,13.366,13.9,13.533,12.733,80.698
18,Lukas Dauser Germany,13.666,12.233,13.133,13.866,15.4,12.133,80.431
19,Sofus Heggemsnes Norway,13.5,12.4,13.233,14.433,13.433,13.1,80.099
20,Krisztian Balazs Hungary,13.166,12.3,12.8,13.166,14.533,14.1,80.065
21,Jossimar Calvo Colombia,12.933,13.3,12.066,13.033,15.166,13.4,79.898
22,Luka van den Keybus Belgium,13.7,11.733,12.8,14.5,14.333,12.733,79.799
23,Gabriel Burtanete Romania,13.266,12.466,13.2,14.8,13.5,12.566,79.798
24,Lorenzo Casali Italy,13.833,13.166,13.266,14.3,13.2,12,79.765
25,Nestor Abad Spain,13.4,12.766,12.566,13.5,14.3,13.166,79.698
26,Omar Mohamed Egypt,13.733,12.866,13.6,13.766,13.866,11.7,79.531
27,Mohamed Afify Egypt,13.1,13.3,12.966,13.666,13.866,12.633,79.531
28,Krisztofer Meszaros Hungary,14.233,12.466,13.1,12.833,14.5,12.366,79.498
29,Harald Wibye Norway,13.466,12.2,12.6,13.9,14.2,13,79.366
30,Abdulla Azimov Uzbekistan,13.166,14.3,11.966,13.9,13.533,12.433,79.298
31,Paul Degouy France,12.533,12.166,13.2,14.1,13.7,13.566,79.265
32,Leo Saladino France,13.066,12.933,13.3,13.166,13.966,12.633,79.064
33,Lee Junho South Korea,12.733,12.633,13.433,14.6,13.266,12.233,78.898
34,Kim Jaeho South Korea,13.4,11.9,11.766,14.533,13.766,13.266,78.631
35,Felix Dolci Canada,12.433,10.366,13.366,14.533,13.866,13.766,78.33
36,Benedek Tomcsanyi Hungary,13.466,13.033,13.2,12.8,13.266,12.533,78.298
37,Glenn Trebing Germany,12.833,12.166,13.166,13.766,13.2,13.1,78.231
38,Dominick Cunningham Ireland,13.8,12.033,13.066,13.333,13.133,12.7,78.065
39,Noe Seifert Switzerland,12.5,13.533,12.833,13.466,12.6,13.033,77.965
40,Elias Koski Finland,12.8,12.133,12.633,13.8,13.566,13,77.932
41,Ilyas Azizov Kazakhstan,13.366,13.1,12.5,13.766,13.466,11.5,77.698
