Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,14.25,12.95,12.1,13.85,53.15
Aug 24-27,U.S. Championships,QF,14.3,14.2,13,13.1,54.6
Aug 4-6,U.S. Classic,AA,0,13.9,12.8,0,0
