Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
1.0,simone biles,USA,6.5,8.75,0.0,15.25,2015,final
3.0,simone biles,USA,6.1,8.233,0.0,14.333,2013,final
1.0,simone biles,USA,6.4,8.7,0.0,15.1,2014,final
1.0,simone biles,USA,6.4,8.958,0.0,15.358,2015,final
3.0,simone biles,USA,6.2,7.4,0.0,13.6,2018,final
1.0,simone biles,USA,6.4,8.666,0.0,15.066,2019,final
