Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round,nation
1.0,simone biles,USA,6.3,9.6,0.0,15.9,5.6,9.55,0.0,15.15,15.525,2015.0,final,USA
2.0,simone biles,USA,6.3,9.633,0.0,15.933,5.6,9.658,0.0,15.258,15.595,2013.0,final,USA
2.0,simone biles,USA,6.3,9.6,0.0,15.9,5.6,9.608,0.0,15.208,15.554,2014.0,final,USA
3.0,simone biles,USA,6.3,9.6,0.0,15.9,5.6,9.583,0.0,15.183,15.541,2015.0,final,USA
1.0,simone biles,none,6.0,9.333,0.0,15.333,5.8,9.666,0.0,15.466,15.399,2019.0,final,USA
