Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
4.0,simone biles,USA,6.1,8.616,0.0,14.716,2013,final
2.0,simone biles,USA,6.2,8.5,0.0,14.7,2018,final
5.0,simone biles,USA,6.2,8.5,0.0,14.7,2019,final
