Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
1.0,simone biles,USA,6.5,8.5,0.0,15.0,2013,final
1.0,simone biles,USA,6.4,8.933,0.0,15.333,2014,final
1.0,simone biles,USA,6.8,9.0,0.0,15.8,2015,final
1.0,simone biles,USA,6.7,8.533,0.3,14.933,2018,final
1.0,simone biles,USA,6.7,8.533,0.1,15.133,2019,final
1.0,simone biles,USA,6.8,9.25,0.0,16.05,2015,final
