Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,year,Nation
1,chiba kenta japan,13.9,14.7,13.666,14.333,14.7,14.5,85.799,qual,2023,None
2,kaya kazuma japan,14.1,14.066,14.2,14.266,14.8,14.166,85.598,qual,2023,None
3,hashimoto daiki japan,14.5,13.266,13.7,14.366,14.6,15.0,85.432,qual,2023,None
4,jake jarman great britain,14.366,13.9,13.233,14.0,14.566,13.966,84.031,qual,2023,None
5,james hall great britain,13.966,14.033,13.833,13.5,14.466,13.833,83.631,qual,2023,None
6,fred richard united states,14.6,14.2,13.4,14.533,14.6,12.233,83.566,qual,2023,None
7,milad karimi kazakhstan,14.5,12.2,13.166,14.566,14.2,14.6,83.232,qual,2023,None
8,asher hong united states,14.3,13.1,13.966,14.766,14.833,12.2,83.165,qual,2023,None
9,artem dolgopyat israel,15.1,13.5,12.833,14.4,13.866,13.3,82.999,qual,2023,None
10,adem asil türkiye,13.8,12.866,14.166,14.566,13.866,13.366,82.63,qual,2023,None
11,yumin abbadini italy,13.533,13.5,13.5,13.966,14.0,14.033,82.532,qual,2023,None
12,noe seifert switzerland,14.2,12.766,13.366,14.066,14.333,13.733,82.464,qual,2023,None
13,lukas dauser germany,13.433,13.233,12.966,13.866,15.3,13.566,82.364,qual,2023,None
14,sun wei china,13.6,12.966,13.633,14.2,14.233,13.466,82.098,qual,2023,None
15,lorenzo casali italy,13.6,13.2,13.566,14.566,14.0,13.133,82.065,qual,2023,None
16,artur davtyan armenia,13.233,13.833,13.833,15.033,13.2,12.9,82.032,qual,2023,None
17,rene cournoyer canada,13.5,12.933,13.666,14.233,13.8,13.866,81.998,qual,2023,None
18,krisztofer meszaros hungary,14.2,13.5,13.7,14.133,14.2,12.2,81.933,qual,2023,None
19,illia kovtun ukraine,13.133,14.366,13.133,14.266,15.233,11.8,81.931,qual,2023,None
20,florian langenegger switzerland,14.2,13.366,12.933,14.266,13.866,13.233,81.864,qual,2023,None
21,casimir schmidt netherlands,13.533,13.133,13.933,14.366,13.6,13.266,81.831,qual,2023,None
22,mario macchiati italy,13.633,13.2,13.1,14.5,14.166,13.2,81.799,qual,2023,None
23,lee junho south korea,13.633,12.666,13.566,14.3,14.0,13.5,81.665,qual,2023,None
24,ilia liubimov israel,13.633,13.9,12.466,14.033,13.933,13.433,81.398,qual,2023,None
25,ahmet önder türkiye,14.266,12.966,13.4,14.166,12.766,13.6,81.164,qual,2023,None
26,diogo soares brazil,12.866,13.766,13.0,14.033,14.233,13.166,81.064,qual,2023,None
27,nestor abad spain,14.166,13.1,13.6,13.2,13.8,13.033,80.899,qual,2023,None
28,thierno diallo spain,13.633,13.6,13.3,14.0,14.366,11.9,80.799,qual,2023,None
29,luka van den keybus belgium,13.933,12.066,12.8,14.4,14.366,13.233,80.798,qual,2023,None
30,andrei muntean romania,13.633,11.666,13.5,14.5,14.4,12.966,80.665,qual,2023,None
31,khabibullo ergashev uzbekistan,13.233,13.966,13.1,14.0,13.133,13.233,80.665,qual,2023,None
32,ivan tikhonov azerbaijan,13.733,13.466,13.533,13.966,13.266,12.666,80.63,qual,2023,None
33,sofus heggemsnes norway,13.2,12.8,13.066,14.3,13.933,13.2,80.499,qual,2023,None
34,pascal brendel germany,14.0,13.3,13.2,12.833,12.8,13.933,80.066,qual,2023,None
35,patrick sampaio brazil,13.6,11.966,13.366,13.866,13.533,13.6,79.931,qual,2023,None
36,abdulla azimov uzbekistan,13.7,14.333,12.366,13.833,12.533,13.1,79.865,qual,2023,None
37,omar mohamed egypt,13.566,12.333,12.9,14.0,13.666,13.2,79.665,qual,2023,None
38,clay mason stephens australia,13.833,12.133,12.566,14.2,13.666,13.266,79.664,qual,2023,None
39,oskar kirmes finland,13.233,12.4,13.266,13.933,13.766,13.033,79.631,qual,2023,None
40,ilias georgiou cyprus,12.433,12.066,13.4,14.366,14.133,13.066,79.464,qual,2023,None
41,oleg verniaiev ukraine,13.533,12.0,12.866,13.366,14.8,12.6,79.165,qual,2023,None
42,jermain grünberg netherlands,13.733,10.5,12.933,13.7,14.5,13.666,79.032,qual,2023,None
43,utkirbek juraev uzbekistan,12.2,13.6,11.8,14.4,13.7,13.233,78.933,qual,2023,None
44,léo saladino france,13.3,12.0,13.3,14.366,13.0,12.9,78.866,qual,2023,None
45,lee chih-kai taiwan,13.5,14.8,12.066,13.5,13.366,11.633,78.865,qual,2023,None
46,harald wibye norway,13.266,12.1,12.866,14.2,13.066,13.1,78.598,qual,2023,None
47,uri zeidel israel,13.333,13.366,13.0,12.966,12.7,13.233,78.598,qual,2023,None
48,jose nogueira portugal,13.9,12.366,12.733,13.766,12.933,12.866,78.564,qual,2023,None
49,zachary clay canada,13.1,13.666,13.033,13.466,12.166,13.066,78.497,qual,2023,None
50,mohamed afify egypt,13.233,11.866,12.7,13.766,13.933,12.5,77.998,qual,2023,None
51,mikhail koudinov new zealand,12.866,12.533,13.033,13.866,13.9,11.633,77.831,qual,2023,None
52,gagik khachikyan armenia,12.666,14.6,12.266,13.333,12.733,12.133,77.731,qual,2023,None
53,benedek tomcsanyi hungary,13.5,13.1,13.233,13.966,12.7,11.166,77.665,qual,2023,None
54,william emard canada,14.033,12.666,14.133,9.5,13.766,13.333,77.431,qual,2023,None
55,askhab matiev austria,13.3,11.666,12.8,13.833,12.866,12.966,77.431,qual,2023,None
56,isaac nuñez mexico,13.366,11.966,12.166,13.966,13.7,12.066,77.23,qual,2023,None
57,nazar chepurnyi ukraine,12.266,12.633,12.966,14.966,11.6,12.7,77.131,qual,2023,None
58,andres martinez colombia,13.366,12.066,12.566,13.8,12.966,12.366,77.13,qual,2023,None
59,krisztian balazs hungary,12.966,12.233,11.9,13.566,13.833,12.533,77.031,qual,2023,None
60,jim zona france,13.833,9.166,13.333,14.133,13.533,12.866,76.864,qual,2023,None
61,nikolaos iliopoulos greece,12.466,11.966,11.966,13.533,13.933,12.966,76.83,qual,2023,None
62,james hardy australia,13.366,12.0,12.766,13.933,13.3,11.3,76.665,qual,2023,None
63,sebastian gawronski poland,13.9,11.7,12.5,13.8,13.133,11.6,76.633,qual,2023,None
64,santiago mayol argentina,12.666,12.7,12.133,13.5,13.366,12.233,76.598,qual,2023,None
65,elias koski finland,11.9,13.6,13.5,13.966,10.6,12.9,76.466,qual,2023,None
66,kevin penev bulgaria,13.633,12.766,12.466,14.333,12.266,10.933,76.397,qual,2023,None
67,robert tvorogal lithuania,13.166,12.866,11.866,13.866,12.733,11.6,76.097,qual,2023,None
68,diorges escobar cuba,12.933,11.566,11.633,14.033,12.1,13.8,76.065,qual,2023,None
69,robert burtanete romania,13.3,12.266,11.3,14.066,12.666,12.466,76.064,qual,2023,None
70,valgard reinhardsson iceland,12.766,11.7,12.833,14.033,13.333,11.1,75.765,qual,2023,None
71,petar vefic serbia,12.033,12.633,12.633,13.366,13.366,11.633,75.664,qual,2023,None
72,andres perez puerto rico,13.366,10.766,12.633,13.3,12.366,13.0,75.431,qual,2023,None
73,yeh cheng taiwan,13.533,12.8,11.333,13.133,12.066,12.533,75.398,qual,2023,None
74,van vi luong vietnam,12.1,11.5,12.4,14.1,12.866,12.3,75.266,qual,2023,None
75,ethan dick new zealand,12.933,11.4,12.233,13.833,11.9,12.833,75.132,qual,2023,None
76,diyas toishybek kazakhstan,12.566,13.833,12.166,13.166,13.366,9.9,74.997,qual,2023,None
77,hillal metidji algeria,10.833,12.633,12.566,13.7,13.066,12.066,74.864,qual,2023,None
78,marcus stenberg sweden,12.666,10.2,13.2,13.5,12.566,12.6,74.732,qual,2023,None
79,adam steele ireland,10.766,12.1,12.366,14.366,12.166,12.733,74.497,qual,2023,None
80,kacper garnczarek poland,11.433,11.766,12.166,14.1,11.866,12.833,74.164,qual,2023,None
81,gytis chasazyrovas lithuania,12.733,11.566,12.5,13.4,11.4,12.5,74.099,qual,2023,None
82,ricardo rudy austria,12.033,12.2,12.533,13.633,11.766,11.933,74.098,qual,2023,None
83,ilyas azizov kazakhstan,11.833,12.433,12.0,13.4,11.5,12.9,74.066,qual,2023,None
84,usukhbayar erkhembayar mongolia,13.7,10.8,12.233,14.0,11.833,11.4,73.966,qual,2023,None
85,manuel martinez colombia,12.366,10.566,11.866,13.633,13.033,12.333,73.797,qual,2023,None
86,michalis chari cyprus,12.666,9.666,13.033,13.566,12.933,11.633,73.497,qual,2023,None
87,joel alvarez chile,11.866,11.166,11.6,13.633,12.733,12.166,73.164,qual,2023,None
88,yogeshwar singh india,9.766,12.233,12.133,13.9,13.333,10.966,72.331,qual,2023,None
89,yordan aleksandrov bulgaria,12.666,11.333,12.8,11.733,11.2,12.466,72.198,qual,2023,None
90,rodrigo gomez mexico,14.0,10.066,12.433,12.966,10.3,12.366,72.131,qual,2023,None
NR,félix dolci canada,14.5,0.0,13.9,14.466,14.233,14.133,71.232,qual,2023,None
NR,nicolau mir spain,14.333,12.766,0.0,13.1,14.433,13.633,68.265,qual,2023,None
NR,emre dodanli türkiye,14.166,0.0,12.666,14.0,13.833,13.533,68.198,qual,2023,None
NR,noah kuavita belgium,13.666,12.533,0.0,14.4,14.333,13.033,67.965,qual,2023,None
NR,arthur mariano brazil,13.966,11.8,0.0,14.7,13.3,14.133,67.899,qual,2023,None
91,carlos yulo philippines,14.6,13.233,11.566,0.0,14.666,13.7,67.765,qual,2023,None
