Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,round,year
1,artur davtyan,ARM,5.6,9.5,0.0,15.1,5.6,9.333,0.0,14.933,15.016,final,2019
2,dmitrii lankin,RUS,5.6,9.266,0.0,14.866,5.2,9.4,0.0,14.6,14.733,final,2019
3,igor radivilov,UKR,5.6,9.133,0.0,14.733,5.6,8.966,0.0,14.566,14.649,final,2019
4,andrey medvedev,ISR,5.6,9.166,0.0,14.766,5.6,9.0,-0.1,14.5,14.633,final,2019
5,loris frasca,FRA,5.6,9.2,-0.3,14.5,5.6,8.9,-0.1,14.4,14.45,final,2019
6,giarnni regini-moran,none,5.6,9.133,0.0,14.733,5.4,8.0,0.0,13.4,14.066,final,2019
