Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,round,year
1,ri se gwang,none,6.0,8.933,0.0,14.933,6.0,8.933,0.0,14.933,14.933,final,2018
2,artur dalaloyan,RUS,5.6,9.266,0.0,14.866,5.6,9.3,0.0,14.9,14.883,final,2018
3,kenzo shirai,JPN,5.6,9.15,0.0,14.75,5.2,9.4,0.0,14.6,14.675,final,2018
4,dominick cunningham,none,5.4,9.133,0.0,14.533,5.6,9.2,0.0,14.8,14.666,final,2018
5,nikita nagornyy,RUS,5.6,9.2,0.0,14.8,5.6,8.9,0.0,14.5,14.65,final,2018
6,shek wai hung,HKG,5.6,9.133,0.0,14.733,5.6,8.7,-0.3,14.0,14.366,final,2018
7,artur davtyan,ARM,5.6,8.833,0.0,14.433,5.6,8.133,-0.3,13.433,13.933,final,2018
8,caio souza,BRA,5.6,9.033,0.0,14.633,5.6,7.833,-0.3,13.133,13.883,final,2018
