Rank,Athlete,Nation,D,E,ND,Total
1,Mélanie De Jesus Dos Santos,France,6,7.9,,13.9
2,Sanne Wevers,Netherlands,5.6,8.266,,13.866
3,Anastasiia Bachynska,Ukraine,5.6,7.733,,13.333
4,Amelie Morgan,Great Britain,5.3,7.866,,13.166
5,Martina Maggio,Italy,4.9,8.1,,13
6,Marine Boyer,France,5.3,7.566,,12.866
7,Lieke Wevers,Netherlands,5.1,7.2,,12.3
8,Elina Vihrova,Latvia,4.6,6.6,,11.2
