Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Shallon Olsen,Canada,5.8,9.15,,14.95,5.9,8.65,,14.55,14.75
2,Brittany Rogers,Canada,5.8,8.525,,14.325,5.6,8.95,,14.55,14.437
3,Courtney McGregor,New Zealand,5.8,8.725,,14.525,5.2,8.775,,13.975,14.25
4,Mariana Vazquez,Mexico,5.2,8.775,,13.975,4.8,8.9,,13.7,13.837
5,Valentina Brostella,Panama,4.7,8.475,,13.175,4.6,8.4,-0.1,12.9,13.037
6,Sau Chung Kwan,Hong Kong,4.4,8.55,,12.95,4.3,8.7,,13,12.975
7,Emily Little,Australia,5,8.9,-0.1,13.8,5.2,8.825,-2,12.025,12.912
8,Tsz Sum Chan,Hong Kong,4.6,7.925,,12.525,4.6,8.425,,13.025,12.775
