Date,Competition,,VT,UB,BB,FX,AA
Oct 4-13,World Championships,EF,0,14.8,0,14.133,0
Oct 4-13,World Championships,AA,14.466,13.133,13.833,14.2,55.632
Oct 4-13,World Championships,TF,0,14.733,12.533,14.233,0
Oct 4-13,World Championships,QF,14.566,15,13.4,14.2,57.166
Aug 8-11,U.S. Worlds Trials,AA,14.55,15,14.55,14.1,58.2
Aug 8-11,U.S. Championships,AA,13.75,15.05,13.85,14,56.65
Aug 8-11,U.S. Championships,QF,13.85,14.75,14.35,13.95,56.9
20-Jul,U.S. Classic,AA,0,14.65,13.9,0,0
22-Jun,American Classic,AA,0,11.65,14.3,0,0
Mar 2-3,City of Jesolo Trophy,EF,0,14.45,14.15,14.2,0
Mar 2-3,City of Jesolo Trophy,AA,14.2,14.7,13.233,14.333,56.466
