Rank,Athlete,Nation,D,E,ND,Total
1,Lee Chih-Kai,Chinese Taipei,6.2,9.2,,15.4
2,Nariman Kurbanov,Kazakhstan,5.9,8.8,,14.7
3,Kazuma Kaya,Japan,6.6,7.9,,14.5
4,Abdulla Azimov,Uzbekistan,5.9,8.45,,14.35
5,Lee Jung-hyo,South Korea,5.8,8.375,,14.175
6,Michael Tone,Australia,5.8,8.05,,13.85
7,Stefano Patron,Italy,5.2,8.35,,13.55
8,Jacob Bonnay,Canada,4.4,8.5,,12.9
