Rank,Athlete,Nation,D,E,ND,Total,D,E,ND,Total,Average
1,Artur Davtyan,Armenia,5.6,9.5,,15.1,5.6,9.333,,14.933,15.016
2,Dmitrii Lankin,Russia,5.6,9.266,,14.866,5.2,9.4,,14.6,14.733
3,Igor Radivilov,Ukraine,5.6,9.133,,14.733,5.6,8.966,,14.566,14.649
4,Andrey Medvedev,Israel,5.6,9.166,,14.766,5.6,9,-0.1,14.5,14.633
5,Loris Frasca,France,5.6,9.2,-0.3,14.5,5.6,8.9,-0.1,14.4,14.45
6,Giarnni Regini-Moran,Great Britain,5.6,9.133,,14.733,5.4,8,,13.4,14.066
