Rank,Athlete,Nation,Meet,Score
1,Guan Chenchen,China,Chinese Championships QF,15.4
2,Zhou Yaqin,China,Chinese Individual Championships EF,15.066
3,Wei Xiaoyuan,China,Chinese Individual Championships EF,14.9
4,Tang Xijing,China,Chinese Championships AA,14.85
5,Ana Padurariu,Canada,Elite Canada QF,14.6
6,Daniela Batrona*,Ukraine,Ukrainian Youth Championships,14.55
6,Li Qi,China,Chinese Championships QF,14.55
8,Liu Tingting,China,Chinese Championships EF,14.533
9,He Licheng,China,Chinese Individual Championships EF,14.5
10,Chen Yanfei,China,Chinese Individual Championships QF,14.45
