Rank,Athlete,Nation,Meet,Score
1,Skye Blakely*,United States,WOGA Classic,14.5
2,Jade Carey,United States,Melbourne World Cup EF,14.366
3,Angelina Radivilova,Ukraine,Ukrainian Championships EF,14.267
4,Qi Qi,China,Chinese Championships EF,14.2
5,MyKayla Skinner,United States,International Gymnix EF,14.133
6,Sophia Butler,United States,WOGA Classic,14.1
6,Karis German,United States,WOGA Classic,14.1
6,Katelyn Rosen*,United States,WOGA Classic,14.1
9,Mélanie De Jesus Dos Santos,France,French Test Meet,14.05
10,Murakami Mai,Japan,All-Japan Senior Championships,14
10,Giorgia Villa,Italy,Italian Championships AA,14
