Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
68,Diorges Escobar Cuba,12.933,11.566,11.633,14.033,12.1,13.8,76.065
69,Robert Burtanete Romania,13.3,12.266,11.3,14.066,12.666,12.466,76.064
70,Valgard Reinhardsson Iceland,12.766,11.7,12.833,14.033,13.333,11.1,75.765
71,Petar Vefic Serbia,12.033,12.633,12.633,13.366,13.366,11.633,75.664
72,Andres Perez Puerto Rico,13.366,10.766,12.633,13.3,12.366,13,75.431
73,Yeh Cheng Taiwan,13.533,12.8,11.333,13.133,12.066,12.533,75.398
74,Van Vi Luong Vietnam,12.1,11.5,12.4,14.1,12.866,12.3,75.266
75,Ethan Dick New Zealand,12.933,11.4,12.233,13.833,11.9,12.833,75.132
76,Diyas Toishybek Kazakhstan,12.566,13.833,12.166,13.166,13.366,9.9,74.997
77,Hillal Metidji Algeria,10.833,12.633,12.566,13.7,13.066,12.066,74.864
78,Marcus Stenberg Sweden,12.666,10.2,13.2,13.5,12.566,12.6,74.732
79,Adam Steele Ireland,10.766,12.1,12.366,14.366,12.166,12.733,74.497
80,Kacper Garnczarek Poland,11.433,11.766,12.166,14.1,11.866,12.833,74.164
81,Gytis Chasazyrovas Lithuania,12.733,11.566,12.5,13.4,11.4,12.5,74.099
82,Ricardo Rudy Austria,12.033,12.2,12.533,13.633,11.766,11.933,74.098
83,Ilyas Azizov Kazakhstan,11.833,12.433,12,13.4,11.5,12.9,74.066
84,Usukhbayar Erkhembayar Mongolia,13.7,10.8,12.233,14,11.833,11.4,73.966
85,Manuel Martinez Colombia,12.366,10.566,11.866,13.633,13.033,12.333,73.797
86,Michalis Chari Cyprus,12.666,9.666,13.033,13.566,12.933,11.633,73.497
87,Joel Alvarez Chile,11.866,11.166,11.6,13.633,12.733,12.166,73.164
88,Yogeshwar Singh India,9.766,12.233,12.133,13.9,13.333,10.966,72.331
89,Yordan Aleksandrov Bulgaria,12.666,11.333,12.8,11.733,11.2,12.466,72.198
90,Rodrigo Gomez Mexico,14,10.066,12.433,12.966,10.3,12.366,72.131
NR,Félix Dolci Canada,14.5,0,13.9,14.466,14.233,14.133,71.232
NR,Nicolau Mir Spain,14.333,12.766,0,13.1,14.433,13.633,68.265
NR,Emre Dodanli Türkiye,14.166,0,12.666,14,13.833,13.533,68.198
NR,Noah Kuavita Belgium,13.666,12.533,0,14.4,14.333,13.033,67.965
NR,Arthur Mariano Brazil,13.966,11.8,0,14.7,13.3,14.133,67.899
91,Carlos Yulo Philippines,14.6,13.233,11.566,0,14.666,13.7,67.765
NR,Lucas Kochan Germany,12.9,13.1,0,14.066,14.233,13.4,67.699
NR,Dmitriy Patanin Kazakhstan,13.9,0,13.366,14.4,13.166,12.4,67.232
NR,Kim Jaeho South Korea,13.633,13.433,0,14.7,12,13.4,67.199
NR,Jordi Hagenaar Netherlands,13.3,13.1,0,14.166,12.333,13.366,66.265
NR,Maxime Gentges Belgium,13.233,12.7,13.266,0,14.066,12.033,65.298
NR,Ryu Sunghyun South Korea,14.2,11.066,0,13.3,13.133,13.266,64.965
NR,Kevin Carvalho France,0,12.366,12.766,14.1,14,11.3,64.532
NR,Nicholas Tarca Romania,12.8,13.066,0,12.866,13.2,11.9,63.832
NR,Dilan Jimenez Colombia,12.7,0,12.1,14.266,13.966,10.666,63.698
NR,Ahmed Abdelrahman Egypt,12.566,12.266,0,14.133,11.766,12.8,63.531
NR,Zaid Khater Egypt,11.533,11.1,12.733,12.966,13.833,0,62.165
NR,Hamza Hossaini Morocco,12.966,11,0,14.333,12.233,7.766,58.298
NR,Paul Juda United States,13.933,0,13.733,14.866,0,14.166,56.698
NR,Khoi Young United States,0,15.066,0,14.8,14.533,11.933,56.332
NR,Sugimoto Kaito Japan,0,13.333,13.766,0,15.166,13.866,56.131
NR,Yul Moldauer United States,14.233,12.666,14,0,14.966,0,55.865
NR,Lucas Desanges France,14,0,0,13.8,14.033,13.5,55.333
NR,Shi Cong China,0,13.6,0,13.5,14.9,13.133,55.133
NR,Nils Dunkel Germany,0,14.6,13.533,0,14.133,12.5,54.766
NR,Christian Baumann Switzerland,0,13.5,13.666,0,14.066,13.233,54.465
NR,Seo Jungwon South Korea,13.566,0,13.566,14.1,13.2,0,54.432
NR,Nicola Cuyle Belgium,0,13.366,13.833,13,14.166,0,54.365
NR,Taha Serhani Switzerland,11.7,0,0,14.366,14.3,13.666,54.032
NR,Joel Plata Spain,0,13.5,13.033,0,14.433,13.066,54.032
NR,Ferhat Arican Türkiye,0,13.6,0,13.866,13.766,12.733,53.965
NR,Glen Cuyle Belgium,13.733,0,14.133,13.5,0,12.5,53.866
NR,Su Weide China,14.2,10.9,0,14.266,0,14.3,53.666
NR,Bart Deurloo Netherlands,11.266,0,13.3,14.1,0,14.1,52.766
NR,Pavel Gulidov Israel,13.4,0,11.966,14.2,12.966,0,52.532
NR,Courtney Tulloch Great Britain,12.133,0,14.3,13.233,12.2,0,51.866
NR,Radomyr Stelmakh Ukraine,13.233,13.8,0,0,13.5,10.933,51.466
NR,Bernardo Miranda Brazil,0,12.6,11.5,0,13.1,13.866,51.066
NR,Toma Modoianu Romania,0,11.8,13.033,0,12.5,12.766,50.099
NR,Harry Hepworth Great Britain,14.5,0,14.366,14.466,0,0,43.332
NR,Max Whitlock Great Britain,0,15.266,0,0,14.133,12.733,42.132
NR,Rayderley Zapata Spain,14.466,0,13.166,14.4,0,0,42.032
NR,Nicola Bartolini Italy,14.4,12.933,0,14.666,0,0,41.999
NR,Abdulaziz Mirvaliev Uzbekistan,13.9,0,13.533,14.533,0,0,41.966
NR,Yuri Guimarães Brazil,14.1,0,13.133,14.4,0,0,41.633
NR,Liu Yang China,13.033,0,15.2,13.133,0,0,41.366
NR,Neofytos Kyriakou Cyprus,13.4,0,0,14.3,0,13.3,41
NR,Nick Klessing Germany,12.233,0,13.733,14.433,0,0,40.399
NR,Lee Junghyo South Korea,0,13.3,13.533,0,0,13.366,40.199
NR,Botond Molnar Hungary,12.9,0,0,13.733,13.566,0,40.199
NR,Loran de Munck Netherlands,0,14.466,13,0,12.666,0,40.132
NR,Benjamin Osberger France,14.166,13.033,12.9,0,0,0,40.099
