0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Max Whitlock,Great Britain,6.8,8.466,,15.266
2,Khoi Young,United States,6.6,8.466,,15.066
3,Rhys McClenaghan,Ireland,6.4,8.533,,14.933
4,Ahmad Abu Al Soud,Jordan,6.4,8.500,,14.900
5,Lee Chih-Kai,Taiwan,6.2,8.600,,14.800
6,Chiba Kenta,Japan,6.1,8.600,,14.700
7,Harutyun Merdinyan,Armenia,6.0,8.600,,14.600
8,Nils Dunkel,Germany,6.2,8.400,,14.600
9,Gagik Khachikyan,Armenia,6.5,8.100,,14.600
10,Loran de Munck,Netherlands,6.5,7.966,,14.466
11,Vedant Sawant,Australia,6.1,8.300,,14.400
12,Matvei Petrov,Albania,6.3,8.100,,14.400
13,Illia Kovtun,Ukraine,5.9,8.466,,14.366
14,Abdulla Azimov,Uzbekistan,6.1,8.233,,14.333
15,Fred Richard,United States,5.7,8.500,,14.200
16,Nariman Kurbanov,Kazakhstan,6.3,7.833,,14.133
17,Kaya Kazuma,Japan,6.3,7.766,,14.066
18,James Hall,Great Britain,5.9,8.133,,14.033
19,Khabibullo Ergashev,Uzbekistan,5.6,8.366,,13.966
20,Jake Jarman,Great Britain,5.6,8.300,,13.900
21,Ilia Liubimov,Israel,5.8,8.100,,13.900
22,Artur Davtyan,Armenia,5.5,8.333,,13.833
23,Diyas Toishybek,Kazakhstan,6.0,7.833,,13.833
24,Radomir Sliz,Czechia,5.9,7.900,,13.800
,Radomyr Stelmakh,Ukraine,5.9,7.900,,13.800
26,Diogo Soares,Brazil,5.7,8.066,,13.766
27,Dmitrijs Mickevics,Latvia,5.1,8.600,,13.700
28,Zachary Clay,Canada,5.7,7.966,,13.666
29,Jayson Rampersad,Canada,5.4,8.233,,13.633
30,Elias Koski,Finland,5.1,8.500,,13.600
31,Utkirbek Juraev,Uzbekistan,5.4,8.200,,13.600
32,Shi Cong,China,5.8,7.800,,13.600
,Ferhat Arican,Türkiye,5.8,7.800,,13.600
34,Thierno Diallo,Spain,5.9,7.700,,13.600
35,Balazs Kiss,Hungary,5.5,8.066,,13.566
36,Christian Baumann,Switzerland,5.3,8.200,,13.500
37,Joel Plata,Spain,5.5,8.000,,13.500
38,Krisztofer Meszaros,Hungary,5.6,7.900,,13.500
39,Artem Dolgopyat,Israel,5.7,7.800,,13.500
40,Yumin Abbadini,Italy,5.8,7.700,,13.500
41,Ivan Tikhonov,Azerbaijan,5.7,7.766,,13.466
42,Kim Jaeho,South Korea,5.3,8.133,,13.433
43,Uri Zeidel,Israel,5.2,8.166,,13.366
,Florian Langenegger,Switzerland,5.2,8.166,,13.366
45,Nicola Cuyle,Belgium,5.4,7.966,,13.366
46,Sugimoto Kaito,Japan,5.2,8.133,,13.333
47,Lee Junghyo,South Korae,5.3,8.000,,13.300
,Shiao Yu-Jan,Taiwan,5.3,8.000,,13.300
49,Pascal Brendel,Germany,5.5,7.800,,13.300
50,Hashimoto Daiki,Japan,5.7,7.566,,13.266
51,Carlos Yulo,Philippines,5.1,8.133,,13.233
52,Lukas Dauser,Germany,5.2,8.033,,13.233
53,Lorenzo Casali,Italy,5.2,8.000,,13.200
54,Alexander Myakinin,Israel,5.4,7.800,,13.200
55,Mario Macchiati,Italy,5.5,7.700,,13.200
