0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Artur Davtyan,Armenia,5.6,9.433,,15.033,15.033
1,Artur Davtyan,Armenia,5.6,9.433,,15.033,15.033
2,Igor Radivilov,Ukraine,5.6,9.233,,14.833,14.766
2,Igor Radivilov,Ukraine,5.6,9.100,,14.700,14.766
3,Nazar Chepurnyi,Ukraine,5.6,9.366,,14.966,14.733
3,Nazar Chepurnyi,Ukraine,5.6,8.900,,14.500,14.733
4,Harry Hepworth,Great Britain,5.6,8.966,-0.1,14.466,14.716
4,Harry Hepworth,Great Britain,5.6,9.366,,14.966,14.716
5,Paul Juda,United States,5.6,9.266,,14.866,14.666
5,Paul Juda,United States,5.2,9.266,,14.466,14.666
6,Khoi Young,United States,5.6,9.300,-0.1,14.800,14.583
6,Khoi Young,United States,5.4,8.966,,14.366,14.583
7,Asher Hong,United States,6.0,8.866,-0.1,14.766,14.516
7,Asher Hong,United States,5.2,9.066,,14.266,14.516
8,Jake Jarman,Great Britain,6.0,8.000,,14.000,14.466
8,Jake Jarman,Great Britain,5.6,9.333,,14.933,14.466
9,Kevin Penev,Bulgaria,5.2,9.133,,14.333,14.449
9,Kevin Penev,Bulgaria,5.2,9.366,,14.566,14.449
10,Audrys Nin Reyes,Dominican Republic,5.2,9.033,,14.233,14.416
10,Audrys Nin Reyes,Dominican Republic,5.6,9.000,,14.600,14.416
11,Abdulaziz Mirvaliev,Uzbekistan,5.6,8.933,,14.533,14.383
11,Abdulaziz Mirvaliev,Uzbekistan,5.6,8.633,,14.233,14.383
12,Minami Kazuki,Japan,5.6,8.433,,14.033,14.366
12,Minami Kazuki,Japan,5.2,9.500,,14.700,14.366
13,Kim Jaeho,South Korea,5.6,9.100,,14.700,14.316
13,Kim Jaeho,South Korea,5.2,9.033,-0.3,13.933,14.316
14,Sebastian Sponevik,Norway,5.2,9.266,,14.466,14.249
14,Sebastian Sponevik,Norway,5.2,8.933,-0.1,14.033,14.249
15,Yuri Guimarães,Brazil,5.2,9.200,,14.400,14.200
15,Yuri Guimarães,Brazil,5.2,8.800,,14.000,14.200
16,Tseng Wei-Sheng,Taiwan,5.2,9.033,,14.233,14.083
16,Tseng Wei-Sheng,Taiwan,5.6,8.633,-0.3,13.933,14.083
17,James Hardy,Australia,5.2,8.733,,13.933,14.066
17,James Hardy,Australia,5.2,9.000,,14.200,14.066
18,Neofytos Kyriakou,Cyprus,5.2,9.100,,14.300,14.000
18,Neofytos Kyriakou,Cyprus,4.8,8.900,,13.700,14.000
19,Rayderley Zapata,Spain,5.6,8.900,-0.1,14.400,13.783
19,Rayderley Zapata,Spain,5.6,7.866,-0.3,13.166,13.783
20,Hamza Hossaini,Morocco,5.6,8.733,,14.333,13.699
20,Hamza Hossaini,Morocco,5.2,7.866,,13.066,13.699
21,Shek Wai Hung,Hong Kong,6.0,8.733,-0.1,14.633,13.633
21,Shek Wai Hung,Hong Kong,5.2,7.733,-0.3,12.633,13.633
22,Juan Larrahondo,Colombia,5.2,9.100,-0.1,14.200,13.633
22,Juan Larrahondo,Colombia,5.6,7.766,-0.3,13.066,13.633
23,Lee Junho,South Korea,5.6,8.800,-0.1,14.300,13.616
23,Lee Junho,South Korea,5.2,7.833,-0.1,12.933,13.616
24,Courtney Tulloch,Great Britain,5.6,7.933,-0.3,13.233,13.433
24,Courtney Tulloch,Great Britain,6.0,7.633,,13.633,13.433
25,Fabian de Luna,Mexico,5.2,8.633,-0.1,13.733,13.366
25,Fabian de Luna,Mexico,5.2,7.800,,13.000,13.366
26,Dominick Cunningham,Ireland,5.4,7.766,-0.1,13.066,13.366
26,Dominick Cunningham,Ireland,5.2,8.566,-0.1,13.666,13.366
27,Gagik Khachikyan,Armenia,4.8,8.533,,13.333,13.133
27,Gagik Khachikyan,Armenia,4.0,8.933,,12.933,13.133
28,Ondrej Kalny,Czechia,4.4,7.700,-0.3,11.800,12.916
28,Ondrej Kalny,Czechia,5.2,9.133,-0.3,14.033,12.916
29,Sebastian Gawronski,Poland,5.6,8.500,-0.3,13.800,6.900
29,Sebastian Gawronski,Poland,0.0,0.000,,0.000,6.900
30,Carlos Yulo,Philippines,0.0,0.000,,0.000,6.766
30,Carlos Yulo,Philippines,4.8,8.733,,13.533,6.766
