Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Hashimoto Daiki Japan,13.466,14.366,14,15,14.8,14.5,86.132
2,Illia Kovtun Ukraine,14,14.3,13.133,14.333,15.166,14.066,84.998
3,Fred Richard United States,14.633,13.733,13.5,14.566,14.6,13.3,84.332
4,Chiba Kenta Japan,13.966,14.8,13.733,13.666,14.666,12.633,83.464
5,Milad Karimi Kazakhstan,14.366,13,12.966,14.233,14.1,14.266,82.931
6,Yumin Abbadini Italy,13.866,13.8,13.3,13.9,13.933,14.033,82.832
7,Sun Wei China,13.333,12.3,14.266,14.166,14.4,14.233,82.698
8,Noe Seifert Switzerland,13.833,13.566,13.366,14.1,14.766,12.8,82.431
9,James Hall Great Britain,13.6,13.3,13.566,13.733,14.666,13.466,82.331
10,Diogo Soares Brazil,13,13.6,13.066,14.1,14.266,13.8,81.832
11,Krisztofer Meszaros Hungary,14.266,13.5,13.366,14.3,12.533,13.7,81.665
12,Rene Cournoyer Canada,13.566,12.6,13.766,13.7,13.933,13.8,81.365
13,Jake Jarman Great Britain,14.5,13.433,12.9,15.433,12.766,12.166,81.198
14,Florian Langenegger Switzerland,13.433,13.466,12.9,14.233,13.866,13.033,80.931
15,Mario Macchiati Italy,13.466,13.433,13.1,14.466,13.2,13,80.665
16,Lukas Dauser Germany,11.966,13.033,12.933,13.733,15.4,13.366,80.431
17,Casimir Schmidt Netherlands,14,13.266,12.8,14.3,12.933,13,80.299
18,Ilia Liubimov Israel,13.2,13.7,12.4,13.966,13.533,13.366,80.165
19,Asher Hong United States,13.733,12.333,13.833,13.866,14.466,11.833,80.064
20,Thierno Diallo Spain,13.366,13.3,13,14.133,13.833,12.3,79.932
21,Luka van den Keybus Belgium,13.6,9.666,12.9,14.5,14.2,13.5,78.366
22,Ahmet Önder Türkiye,13.8,9.933,13.133,14.533,12.866,14.066,78.331
23,Lee Junho South Korea,13.466,11.933,13.166,14.1,11.733,13.566,77.964
24,Khabibullo Ergashev Uzbekistan,12.8,13.5,12.266,13.866,13.166,11.733,77.331
