0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Lukas Dauser,Germany,6.6,8.700,,15.300
2,Illia Kovtun,Ukraine,6.7,8.533,,15.233
3,Sugimoto Kaito,Japan,6.3,8.866,,15.166
4,Yul Moldauer,United States,6.6,8.366,,14.966
5,Shi Cong,China,6.3,8.600,,14.900
6,Asher Hong,United States,6.0,8.833,,14.833
7,Matteo Levantesi,Italy,6.2,8.633,,14.833
8,Kaya Kazuma,Japan,6.3,8.500,,14.800
9,Oleg Verniaiev,Ukraine,6.6,8.200,,14.800
10,Chiba Kenta,Japan,6.1,8.600,,14.700
11,Carlos Yulo,Philippines,6.2,8.466,,14.666
12,Fred Richard,United States,6.0,8.600,,14.600
13,Hashimoto Daiki,Japan,6.1,8.500,,14.600
14,Jake Jarman,Great Britain,5.9,8.666,,14.566
15,Khoi Young,United States,5.7,8.833,,14.533
16,Jermain Grünberg,Netherlands,5.9,8.600,,14.500
17,James Hall,Great Britain,6.1,8.366,,14.466
18,Nicolau Mir,Spain,5.8,8.633,,14.433
,Joel Plata,Spain,5.8,8.633,,14.433
20,Andrei Muntean,Romania,5.9,8.500,,14.400
21,Luka van den Keybus,Belgium,6.0,8.366,,14.366
22,Thierno Diallo,Spain,6.4,7.966,,14.366
23,Noah Kuavita,Belgium,5.9,8.433,,14.333
24,Noe Seifert,Switzerland,6.3,8.033,,14.333
25,Taha Serhani,Switzerland,5.6,8.700,,14.300
26,Lucas Kochan,Germany,5.5,8.733,,14.233
27,Diogo Soares,Brazil,5.6,8.633,,14.233
28,Félix Dolci,Canada,5.9,8.333,,14.233
29,Sun Wei,China,6.1,8.133,,14.233
30,You Hao,China,6.7,7.533,,14.233
31,Milad Karimi,Kazakhstan,5.9,8.300,,14.200
32,Krisztofer Meszaros,Hungary,6.1,8.100,,14.200
33,Mario Macchiati,Italy,5.5,8.666,,14.166
34,Nicola Cuyle,Belgium,5.6,8.566,,14.166
