0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Artem Dolgopyat,Israel,6.4,8.800,-0.1,15.100
2,Fred Richard,United States,6.0,8.600,,14.600
3,Carlos Yulo,Philippines,6.3,8.400,-0.1,14.600
4,Minami Kazuki,Japan,6.2,8.366,,14.566
5,Félix Dolci,Canada,6.0,8.600,-0.1,14.500
6,Hashimoto Daiki,Japan,6.0,8.500,,14.500
7,Milad Karimi,Kazakhstan,6.3,8.300,-0.1,14.500
8,Harry Hepworth,Great Britain,6.4,8.200,-0.1,14.500
9,Rayderley Zapata,Spain,6.2,8.266,,14.466
10,Nicola Bartolini,Italy,5.9,8.500,,14.400
11,Jake Jarman,Great Britain,6.7,7.866,-0.2,14.366
12,Nicolau Mir,Spain,5.5,8.833,,14.333
13,Asher Hong,United States,6.0,8.400,-0.1,14.300
14,Ahmet Önder,Türkiye,5.8,8.466,,14.266
15,Yul Moldauer,United States,5.7,8.533,,14.233
16,Florian Langenegger,Switzerland,5.6,8.600,,14.200
17,Noe Seifert,Switzerland,5.7,8.500,,14.200
18,Krisztofer Meszaros,Hungary,6.0,8.300,-0.1,14.200
19,Su Weide,China,6.2,8.100,-0.1,14.200
20,Ryu Sunghyun,South Korea,6.1,8.100,,14.200
21,Nestor Abad,Spain,5.5,8.666,,14.166
22,Benjamin Osberger,France,5.6,8.566,,14.166
,Emre Dodanli,Türkiye,5.6,8.566,,14.166
24,Filip Lidbeck,Sweden,5.7,8.433,,14.133
25,Yuri Guimarães,Brazil,5.7,8.500,-0.1,14.100
26,Kaya Kazuma,Japan,5.7,8.400,,14.100
27,William Emard,Canada,5.8,8.233,,14.033
28,Pascal Brendel,Germany,5.6,8.400,,14.000
,Rodrigo Gomez,Mexico,5.6,8.400,,14.000
30,Lucas Desanges,France,5.7,8.300,,14.000
31,Arthur Mariano,Brazil,5.3,8.666,,13.966
32,James Hall,Great Britain,5.8,8.266,-0.1,13.966
33,Luka van den Keybus,Belgium,5.5,8.433,,13.933
,Paul Juda,United States,5.5,8.433,,13.933
35,Jose Nogueira,Portugal,5.6,8.300,,13.900
,Abdulaziz Mirvaliev,Uzbekistan,5.6,8.300,,13.900
37,Chiba Kenta,Japan,5.7,8.200,,13.900
,Sebastian Gawronski,Poland,5.7,8.200,,13.900
39,Dmitriy Patanin,Kazakhstan,5.9,8.100,-0.1,13.900
40,Luca Giubellini,Switzerland,5.5,8.366,,13.866
41,Jim Zona,France,5.3,8.533,,13.833
42,Clay Mason Stephens,Australia,5.7,8.133,,13.833
43,Adem Asil,Türkiye,5.5,8.400,-0.1,13.800
44,Mehmet Ayberk Kosak,Türkiye,5.5,8.266,,13.766
45,Ivan Tikhonov,Azerbaijan,5.3,8.433,,13.733
46,Jermain Grünberg,Netherlands,5.4,8.333,,13.733
47,Glen Cuyle,Belgium,5.7,8.033,,13.733
48,Abdulla Azimov,Uzbekistan,5.1,8.600,,13.700
49,Usukhbayar Erkhembayar,Mongolia,5.5,8.200,,13.700
50,Dominick Cunningham,Ireland,5.8,8.000,-0.1,13.700
51,Noah Kuavita,Belgium,5.5,8.266,-0.1,13.666
52,Ilia Liubimov,Israel,5.0,8.633,,13.633
53,Lee Junho,South Korea,5.4,8.533,-0.3,13.633
54,Kim Jaeho,South Korea,5.3,8.333,,13.633
,Andrei Muntean,Romania,5.3,8.333,,13.633
56,Thierno Diallo,Spain,5.6,8.133,-0.1,13.633
57,Mario Macchiati,Italy,5.5,8.133,,13.633
58,Kevin Penev,Bulgaria,6.0,7.633,,13.633
59,Patrick Sampaio,Brazil,5.3,8.300,,13.600
60,Lorenzo Casali,Italy,5.4,8.200,,13.600
61,Sun Wei,China,5.7,8.000,-0.1,13.600
62,Omar Mohamed,Egypt,5.5,8.266,-0.2,13.566
63,Seo Jungwon,South Korea,5.6,7.966,,13.566
64,Yumin Abbadini,Italy,5.4,8.433,-0.3,13.533
65,Enkhtuvshin Damdindorj,Mongolia,5.5,8.033,,13.533
,Yeh Cheng,Taiwan,5.5,8.033,,13.533
67,Casimir Schmidt,Netherlands,5.6,7.933,,13.533
,Oleg Verniaiev,Ukraine,5.6,7.933,,13.533
69,Rene Cournoyer,Canada,5.3,8.200,,13.500
,Lee Chih-Kai,Taiwan,5.3,8.200,,13.500
71,Benedek Tomcsanyi,Hungary,5.4,8.100,,13.500
72,Lukas Dauser,Germany,5.3,8.133,,13.433
73,Neofytos Kyriakou,Cyprus,5.3,8.100,,13.400
74,Pavel Gulidov,Israel,5.4,8.000,,13.400
75,Isaac Nuñez,Mexico,5.0,8.466,-0.1,13.366
76,Andres Perez,Puerto Rico,5.2,8.166,,13.366
77,James Hardy,Australia,5.5,8.066,-0.2,13.366
78,Andres Martinez,Colombia,5.5,7.866,,13.366
79,Uri Zeidel,Israel,5.5,7.933,-0.1,13.333
80,Guilherme Campos,Portugal,5.7,7.633,,13.333
81,Askhab Matiev,Austria,5.3,8.100,-0.1,13.300
82,Jordi Hagenaar,Netherlands,5.6,8.000,-0.3,13.300
83,Robert Burtanete,Romania,5.4,7.900,,13.300
84,Léo Saladino,France,5.6,7.700,,13.300
85,Harald Wibye,Norway,5.2,8.166,-0.1,13.266
86,Artur Davtyan,Armenia,4.3,8.933,,13.233
87,Khabibullo Ergashev,Uzbekistan,4.8,8.433,,13.233
88,Maxime Gentges,Belgium,5.0,8.233,,13.233
89,Mohamed Afify,Egypt,5.1,8.133,,13.233
90,Oskar Kirmes,Finland,5.4,8.033,-0.2,13.233
91,Radomyr Stelmakh,Ukraine,5.7,7.733,-0.2,13.233
92,Sofus Heggemsnes,Norway,4.9,8.300,,13.200
93,Juan Larrahondo,Colombia,5.5,8.000,-0.3,13.200
94,Robert Tvorogal,Lithuania,4.8,8.366,,13.166
95,Illia Kovtun,Ukraine,5.9,7.233,,13.133
96,Zachary Clay,Canada,4.7,8.400,,13.100
97,Liu Yang,China,5.1,8.233,-0.3,13.033
98,Emilian Neagu,Romania,5.0,8.000,,13.000
99,Krisztian Balazs,Hungary,5.1,8.066,-0.2,12.966
100,Hamza Hossaini,Morocco,5.1,7.866,,12.966
101,Ethan Dick,New Zealand,5.1,7.933,-0.1,12.933
102,Diorges Escobar,Cuba,5.5,7.433,,12.933
103,Lucas Kochan,Germany,5.4,7.800,-0.3,12.900
104,Botond Molnar,Hungary,5.6,7.500,-0.2,12.900
105,Diogo Soares,Brazil,5.3,7.566,,12.866
,Mikhail Koudinov,New Zealand,5.3,7.566,,12.866
107,Nicholas Tarca,Romania,5.3,7.500,,12.800
108,Valgard Reinhardsson,Iceland,5.4,7.566,-0.2,12.766
109,Gytis Chasazyrovas,Lithuania,5.7,7.033,,12.733
110,Dilan Jimenez,Colombia,5.4,7.400,-0.1,12.700
111,Yordan Aleksandrov,Bulgaria,5.0,7.766,-0.1,12.666
112,Marcus Stenberg,Sweden,4.9,7.766,,12.666
113,Gagik Khachikyan,Armenia,5.1,7.566,,12.666
114,Santiago Mayol,Argentina,5.7,7.266,-0.3,12.666
115,Michalis Chari,Cyprus,5.7,7.066,-0.1,12.666
116,Diyas Toishybek,Kazakhstan,4.7,7.866,,12.566
117,Ahmed Abdelrahman,Egypt,5.3,7.366,-0.1,12.566
118,Kim Wanström,Sweden,5.8,6.800,-0.1,12.500
119,Eamon Montgomery,Ireland,5.8,6.700,,12.500
120,Nikolaos Iliopoulos,Greece,4.7,7.766,,12.466
121,Ilias Georgiou,Cyprus,4.9,7.533,,12.433
122,Manuel Martinez,Colombia,4.7,7.966,-0.3,12.366
123,Nazar Chepurnyi,Ukraine,5.2,7.166,-0.1,12.266
124,Nick Klessing,Germany,5.6,6.933,-0.3,12.233
125,Utkirbek Juraev,Uzbekistan,5.2,7.000,,12.200
126,Courtney Tulloch,Great Britain,5.4,6.833,-0.1,12.133
127,Van Vi Luong,Vietnam,5.2,7.600,-0.7,12.100
128,Ricardo Rudy,Austria,5.0,7.133,-0.1,12.033
129,Petar Vefic,Serbia,5.1,7.033,-0.1,12.033
130,Elias Koski,Finland,4.9,7.100,-0.1,11.900
131,Joel Alvarez,Chile,5.2,6.966,-0.3,11.866
132,Ilyas Azizov,Kazakhstan,5.7,6.433,-0.3,11.833
133,Taha Serhani,Switzerland,5.5,6.200,,11.700
