Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Mai Murakami,Japan,14.566,13.7,13.7,14.566,56.532
2,Trinity Thomas,United States,14.033,14,13.1,13.4,54.533
3,Mélanie De Jesus Dos Santos,France,14.066,14.033,13.366,12.533,53.998
4,Angelina Simakova,Russia,13.866,13.7,13.066,13.1,53.732
5,Elisabeth Seitz,Germany,13.5,14.633,11.4,12.766,52.299
6,Aiko Sugihara,Japan,14,13.5,11.233,13.2,51.933
7,Victoria-Kayen Woo,Canada,13.433,10.833,11.566,12.633,48.465
