Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Simone Biles,United States,15.4,14.3,14.2,14.9,58.8
2,Ana Padurariu,Canada,13.533,14.066,14.333,13.2,55.132
3,Elisabeth Seitz,Germany,14.5,14.233,12.466,13.2,54.399
4,Lorette Charpy,France,13.566,13.933,13.666,12.566,53.731
5,Aliya Mustafina,Russia,14.4,14.2,11.6,13.2,53.4
6,Hitomi Hatakeda,Japan,13.933,13.566,12.9,12.3,52.699
7,Kim Bui,Germany,13.533,13.8,11.8,13.033,52.166
8,Zsofia Kovacs,Hungary,13.933,12.9,13,11.333,51.166
9,Carolyne Pedro,Brazil,13.733,11.833,9.866,12.333,47.765
