Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Zhang Jin,China,14.166,12.466,13.533,13.266,53.431
2,Elisabeth Seitz,Germany,13.566,14.8,12,12.966,53.332
3,Jordan Chiles,United States,14.666,12.9,11.733,13.633,52.932
4,Angelina Melnikova,Russia,14.5,13.433,11.766,13,52.699
5,Sarah Voss,Germany,14.433,13.333,12.4,12.3,52.466
6,Tisha Volleman,Netherlands,14.166,12.5,12.5,12.7,51.866
7,Nagi Kajita,Japan,13.4,12.7,11.2,13.1,50.4
8,Lucy Stanhope,Great Britain,14.366,11.233,10.366,12.3,48.265
