Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Milwaukee Brewers,38,28.1,3.85,95,67,0.586,3.5,162,162,160,2,19,1,44,1436,1156,623,558,168,537,19,1618,77,9,60,5990,119,3.72,1.179,7.2,1.1,3.4,10.1,3.01,1084
Minnesota Twins,35,29.8,5.15,73,89,0.451,4.83,162,162,161,1,9,0,42,1419.1,1392,834,762,239,484,13,1317,62,3,48,6080,89,4.66,1.322,8.8,1.5,3.1,8.4,2.72,1017
New York Mets,42,29.5,4.12,77,85,0.475,3.9,162,162,160,2,8,1,41,1379.1,1221,668,597,190,475,21,1453,70,1,53,5785,104,4.03,1.23,8,1.2,3.1,9.5,3.06,1005
New York Yankees,30,29.3,4.13,92,70,0.568,3.74,162,162,159,3,13,2,47,1435.1,1243,669,596,196,492,10,1569,56,8,85,5999,115,3.9,1.209,7.8,1.2,3.1,9.8,3.19,1048
Oakland Athletics,27,30.1,4.24,86,76,0.531,4.02,162,162,159,3,11,3,39,1433,1362,687,640,191,439,11,1332,64,2,63,6060,103,4.1,1.257,8.6,1.2,2.8,8.4,3.03,1089
Philadelphia Phillies,35,28.8,4.6,82,80,0.506,4.39,162,162,157,5,12,4,36,1418.2,1321,745,692,200,509,37,1480,75,5,49,6055,96,4.15,1.29,8.4,1.3,3.2,9.4,2.91,1074
Pittsburgh Pirates,38,27.4,5.14,61,101,0.377,5.08,162,162,162,0,6,0,25,1396.1,1400,833,788,213,606,26,1312,78,5,55,6140,84,4.74,1.437,9,1.4,3.9,8.5,2.17,1128
San Diego Padres,34,29.6,4.37,79,83,0.488,4.1,162,162,160,2,11,2,43,1430,1277,708,651,205,516,33,1517,87,2,57,6056,95,4.18,1.254,8,1.3,3.2,9.5,2.94,1086
Seattle Mariners,38,28,4.62,90,72,0.556,4.3,162,162,161,1,10,0,51,1440.1,1356,748,688,197,485,23,1328,69,3,58,6106,97,4.26,1.278,8.5,1.2,3,8.3,2.74,1065
San Francisco Giants,34,29.7,3.67,107,55,0.66,3.24,162,162,160,2,18,2,56,1455,1254,594,524,151,416,20,1425,63,7,44,6002,128,3.55,1.148,7.8,0.9,2.6,8.8,3.43,1072
St. Louis Cardinals,33,30.1,4.15,90,72,0.556,3.98,162,162,159,3,15,1,50,1417,1234,672,626,152,608,30,1225,85,4,66,6046,99,4.3,1.3,7.8,1,3.9,7.8,2.01,1134
Tampa Bay Rays,41,28.8,4.02,100,62,0.617,3.67,162,162,161,1,13,0,42,1455.2,1264,651,593,184,436,27,1478,55,6,64,5998,111,3.79,1.168,7.8,1.1,2.7,9.1,3.39,1009
Texas Rangers,32,27.8,5.03,60,102,0.37,4.79,162,162,162,0,3,0,31,1424.1,1402,815,758,232,513,11,1239,61,0,67,6103,93,4.76,1.344,8.9,1.5,3.2,7.8,2.42,1040
Toronto Blue Jays,38,29.1,4.09,91,71,0.562,3.91,162,162,161,1,14,1,34,1405.1,1257,663,610,209,473,10,1468,75,4,54,5916,115,4.18,1.231,8.1,1.3,3,9.4,3.1,1054
Washington Nationals,33,30.1,5.06,65,97,0.401,4.8,162,162,161,1,8,0,36,1394.1,1364,820,743,247,548,46,1346,71,1,43,6073,84,4.87,1.371,8.8,1.6,3.5,8.7,2.46,1087
League Average,30,28.7,4.53,81,81,0.5,4.26,162,162,160,2,10,1,40,1420,1316,734,672,198,526,23,1405,70,5,62,6061,101,4.27,1.297,8.3,1.3,3.3,8.9,2.67,1087
,909,28.7,4.53,2429,2429,0.5,4.26,4858,4858,4808,50,299,29,1191,42615,39484,22010,20162,5944,15794,703,42145,2112,155,1862,181818,101,4.27,1.297,8.3,1.3,3.3,8.9,2.67,32601
