Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,27,28.6,4.59,85,77,0.525,4.25,162,162,162,0,11,0,45,1465,1400,743,691,220,516,38,1427,62,4,49,6230,105,4.4,1.308,8.6,1.4,3.2,8.8,2.77,1092
Atlanta Braves,32,27.5,4.59,97,65,0.599,4.19,162,162,161,1,8,0,44,1450.2,1421,743,675,203,548,33,1393,69,3,70,6243,110,4.39,1.357,8.8,1.3,3.4,8.6,2.54,1148
Baltimore Orioles,39,27.3,6.06,54,108,0.333,5.59,162,162,162,0,5,0,27,1443,1544,981,897,305,561,11,1248,80,6,75,6396,84,5.56,1.459,9.6,1.9,3.5,7.8,2.22,1086
Boston Red Sox,28,29,5.11,84,78,0.519,4.7,162,162,161,1,8,1,33,1471,1423,828,768,215,605,22,1633,76,6,81,6400,104,4.28,1.379,8.7,1.3,3.7,10,2.7,1159
Chicago Cubs,33,31.1,4.43,84,78,0.519,4.1,162,162,161,1,10,1,38,1442,1376,717,657,195,534,16,1444,80,1,60,6190,108,4.25,1.325,8.6,1.2,3.3,9,2.7,1147
Chicago White Sox,27,27.6,5.17,72,89,0.447,4.9,161,161,155,6,7,2,33,1412.2,1438,832,769,238,582,30,1312,51,5,71,6159,94,4.89,1.43,9.2,1.5,3.7,8.4,2.25,1089
Cincinnati Reds,26,28.2,4.39,75,87,0.463,4.18,162,162,162,0,10,0,46,1438,1270,711,668,214,536,31,1552,58,8,35,6057,112,4.23,1.256,7.9,1.3,3.4,9.7,2.9,1032
Cleveland Indians,30,28.3,4.06,93,69,0.574,3.76,162,162,156,6,16,5,42,1437.2,1308,657,601,207,450,19,1508,62,2,42,6008,125,4.06,1.223,8.2,1.3,2.8,9.4,3.35,1038
Colorado Rockies,31,27.3,5.91,71,91,0.438,5.56,162,162,161,1,5,1,28,1448.2,1576,958,895,270,589,33,1264,57,7,63,6423,93,5.23,1.494,9.8,1.7,3.7,7.9,2.15,1119
Detroit Tigers,32,27.8,5.68,47,114,0.292,5.24,161,161,161,0,3,0,31,1433,1555,915,835,250,536,24,1368,69,7,66,6341,91,4.84,1.459,9.8,1.6,3.4,8.6,2.55,1127
Houston Astros,26,29.9,3.95,107,55,0.66,3.66,162,162,160,2,14,1,47,1462.1,1205,640,595,230,448,0,1671,41,8,41,5995,127,3.98,1.13,7.4,1.4,2.8,10.3,3.73,968
Kansas City Royals,30,27.9,5.36,59,103,0.364,5.2,162,162,161,1,7,1,37,1425,1525,869,824,221,582,25,1230,81,5,59,6307,92,4.9,1.479,9.6,1.4,3.7,7.8,2.11,1163
Los Angeles Angels,32,27,5.36,72,90,0.444,5.12,162,162,162,0,2,0,32,1442.2,1417,868,820,267,576,11,1404,82,9,98,6289,91,5.04,1.381,8.8,1.7,3.6,8.8,2.44,1093
Los Angeles Dodgers,26,28.9,3.78,106,56,0.654,3.37,162,162,159,3,18,1,44,1445.2,1201,613,541,185,392,24,1519,66,7,40,5913,123,3.73,1.102,7.5,1.2,2.4,9.5,3.88,963
Miami Marlins,26,26.5,4.99,57,105,0.352,4.74,162,162,160,2,8,2,27,1444.1,1340,808,760,236,615,52,1378,90,6,71,6247,91,4.89,1.354,8.3,1.5,3.8,8.6,2.24,1106
Milwaukee Brewers,30,28.7,4.73,89,73,0.549,4.4,162,162,162,0,7,0,50,1459.1,1364,766,713,225,570,28,1497,60,3,41,6251,102,4.46,1.325,8.4,1.4,3.5,9.2,2.63,1107
Minnesota Twins,31,28.2,4.65,101,61,0.623,4.18,162,162,161,1,10,0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,109,4.02,1.304,9,1.2,2.8,9,3.24,1102
New York Mets,30,28.6,4.55,86,76,0.531,4.24,162,162,159,3,12,3,38,1461,1405,737,688,204,500,40,1520,60,2,47,6232,97,4.1,1.304,8.7,1.3,3.1,9.4,3.04,1112
New York Yankees,33,30.2,4.56,103,59,0.636,4.31,162,162,161,1,9,1,50,1443,1374,739,691,248,507,12,1534,44,5,55,6133,104,4.47,1.304,8.6,1.5,3.2,9.6,3.03,1065
Oakland Athletics,28,30.8,4.2,97,65,0.599,3.97,162,162,161,1,12,1,45,1465,1342,680,646,201,477,19,1299,66,4,74,6153,109,4.34,1.242,8.2,1.2,2.9,8,2.72,1078
Philadelphia Phillies,34,28.4,4.9,81,81,0.5,4.53,162,162,159,3,7,1,36,1453.2,1452,794,731,258,546,38,1392,71,7,45,6274,99,4.88,1.374,9,1.6,3.4,8.6,2.55,1119
Pittsburgh Pirates,34,27.2,5.62,69,93,0.426,5.18,162,162,161,1,6,0,31,1440,1511,911,829,241,584,22,1443,85,4,50,6391,84,4.78,1.455,9.4,1.5,3.7,9,2.47,1160
San Diego Padres,34,26.3,4.87,70,92,0.432,4.6,162,162,162,0,6,0,47,1432,1394,789,732,215,463,19,1475,68,6,60,6160,91,4.22,1.297,8.8,1.4,2.9,9.3,3.19,1075
Seattle Mariners,42,28.6,5.51,68,94,0.42,4.99,162,162,159,3,4,2,34,1439.1,1484,893,798,260,505,25,1239,51,4,75,6268,88,5,1.382,9.3,1.6,3.2,7.7,2.45,1057
San Francisco Giants,35,28.9,4.77,77,85,0.475,4.38,162,162,161,1,8,0,41,1469,1395,773,715,227,519,26,1368,65,4,53,6256,96,4.55,1.303,8.5,1.4,3.2,8.4,2.64,1076
St. Louis Cardinals,23,27.8,4.09,91,71,0.562,3.8,162,162,161,1,14,1,52,1444,1284,662,609,191,545,41,1399,69,4,46,6068,110,4.27,1.267,8,1.2,3.4,8.7,2.57,1074
Tampa Bay Rays,33,27.8,4.05,96,66,0.593,3.65,162,162,162,0,12,0,46,1474.1,1274,656,598,181,453,27,1621,60,7,59,6086,120,3.65,1.171,7.8,1.1,2.8,9.9,3.58,1007
Texas Rangers,36,28.3,5.42,78,84,0.481,5.06,162,162,158,4,9,1,33,1438,1515,878,808,241,583,11,1379,70,3,68,6354,102,4.84,1.459,9.5,1.5,3.6,8.6,2.37,1162
Toronto Blue Jays,39,28,5.11,67,95,0.414,4.79,162,162,161,1,7,0,33,1440.1,1450,828,767,228,604,25,1332,69,6,70,6313,95,4.82,1.426,9.1,1.4,3.8,8.3,2.21,1164
Washington Nationals,31,30.8,4.47,93,69,0.574,4.27,162,162,161,1,13,1,40,1439.1,1340,724,683,202,517,41,1511,61,5,53,6134,106,4.14,1.29,8.4,1.3,3.2,9.4,2.92,1092
League Average,28,28.4,4.83,81,81,0.5,4.49,162,162,160,2,9,1,39,1447,1401,782,723,226,530,25,1427,66,5,60,6217,101,4.5,1.334,8.7,1.4,3.3,8.9,2.69,1093
,831,28.4,4.83,2429,2429,0.5,4.49,4858,4858,4813,45,268,26,1180,43423.1,42039,23467,21684,6776,15895,753,42823,1984,153,1788,186517,101,4.5,1.334,8.7,1.4,3.3,8.9,2.69,32780
