Tm,W,L,ERA,G,IP,H,R,ER,HR,BB,SO,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,year
Los Angeles Dodgers,104,58,3.38,162,1444.2,1226,580,543,184,442,1549,40,5925,3.67,1.155,7.6,1.1,2.8,9.6,2017
Miami Marlins,77,85,4.82,162,1442.2,1450,822,772,193,627,1202,57,6318,4.69,1.44,9.0,1.2,3.9,7.5,2017
Milwaukee Brewers,86,76,4.0,162,1445.2,1381,697,642,185,553,1346,50,6164,4.24,1.338,8.6,1.2,3.4,8.4,2017
Minnesota Twins,85,77,4.59,162,1436.0,1487,788,732,224,483,1166,52,6205,4.72,1.372,9.3,1.4,3.0,7.3,2017
New York Mets,70,92,5.01,162,1434.2,1538,863,799,220,593,1374,55,6378,4.59,1.485,9.6,1.4,3.7,8.6,2017
New York Yankees,91,71,3.72,162,1448.2,1248,660,599,192,504,1560,83,6078,3.88,1.209,7.8,1.2,3.1,9.7,2017
Oakland Athletics,75,87,4.67,162,1431.0,1444,826,743,210,502,1202,84,6167,4.57,1.36,9.1,1.3,3.2,7.6,2017
Philadelphia Phillies,66,96,4.55,162,1441.0,1471,782,729,221,527,1309,50,6235,4.56,1.387,9.2,1.4,3.3,8.2,2017
Pittsburgh Pirates,75,87,4.22,162,1440.2,1464,731,676,182,511,1262,58,6208,4.23,1.371,9.1,1.1,3.2,7.9,2017
San Diego Padres,71,91,4.67,162,1430.2,1417,816,742,226,554,1325,73,6169,4.67,1.378,8.9,1.4,3.5,8.3,2017
Seattle Mariners,78,84,4.46,162,1440.1,1399,772,713,237,490,1244,73,6132,4.7,1.312,8.7,1.5,3.1,7.8,2017
San Francisco Giants,64,98,4.5,162,1452.0,1515,776,726,182,496,1234,55,6287,4.22,1.385,9.4,1.1,3.1,7.6,2017
St. Louis Cardinals,83,79,4.01,162,1450.1,1393,705,646,183,493,1351,38,6153,4.09,1.3,8.6,1.1,3.1,8.4,2017
Tampa Bay Rays,80,82,3.97,162,1445.0,1324,704,638,193,503,1352,83,6099,4.17,1.264,8.2,1.2,3.1,8.4,2017
Texas Rangers,78,84,4.66,162,1434.1,1443,816,742,214,559,1107,63,6211,4.88,1.396,9.1,1.3,3.5,6.9,2017
Toronto Blue Jays,76,86,4.42,162,1465.0,1460,784,720,203,549,1372,53,6316,4.31,1.371,9.0,1.2,3.4,8.4,2017
Washington Nationals,97,65,3.88,162,1446.2,1300,672,623,189,495,1457,44,6068,3.99,1.241,8.1,1.2,3.1,9.1,2017
Arizona Diamondbacks,82,80,3.72,162,1463.0,1313,644,605,174,522,1448,69,6139,3.91,1.254,8.1,1.1,3.2,8.9,2018
Atlanta Braves,90,72,3.75,162,1456.2,1236,657,607,153,635,1423,61,6155,3.98,1.284,7.6,0.9,3.9,8.8,2018
Baltimore Orioles,47,115,5.18,162,1431.0,1552,892,824,234,589,1203,81,6340,4.98,1.496,9.8,1.5,3.7,7.6,2018
Boston Red Sox,108,54,3.75,162,1458.2,1305,647,608,176,512,1558,51,6166,3.82,1.246,8.1,1.1,3.2,9.6,2018
Chicago Cubs,95,68,3.65,163,1476.1,1319,645,598,157,622,1333,46,6264,4.13,1.315,8.0,1.0,3.8,8.1,2018
Chicago White Sox,62,100,4.83,162,1437.0,1404,848,771,196,653,1259,94,6339,4.73,1.431,8.8,1.2,4.1,7.9,2018
Cincinnati Reds,67,95,4.63,162,1441.0,1491,819,741,228,532,1258,48,6279,4.66,1.404,9.3,1.4,3.3,7.9,2018
Cleveland Indians,91,71,3.77,162,1457.1,1349,648,611,200,407,1544,54,6071,3.78,1.205,8.3,1.2,2.5,9.5,2018
Colorado Rockies,91,72,4.33,163,1452.1,1377,745,699,184,525,1409,70,6154,4.06,1.31,8.5,1.1,3.3,8.7,2018
Detroit Tigers,64,98,4.58,162,1425.1,1423,796,726,216,491,1215,54,6130,4.58,1.343,9.0,1.4,3.1,7.7,2018
Houston Astros,103,59,3.11,162,1455.0,1164,534,503,152,435,1687,67,5913,3.23,1.099,7.2,0.9,2.7,10.4,2018
Kansas City Royals,58,104,4.94,162,1432.0,1542,833,786,205,549,1157,68,6284,4.66,1.46,9.7,1.3,3.5,7.3,2018
Los Angeles Angels,80,82,4.15,162,1437.1,1353,722,662,205,546,1386,87,6108,4.36,1.321,8.5,1.3,3.4,8.7,2018
Los Angeles Dodgers,92,71,3.38,163,1476.0,1279,610,554,179,422,1565,39,6096,3.6,1.152,7.8,1.1,2.6,9.5,2018
Miami Marlins,63,98,4.76,161,1442.0,1388,809,762,192,605,1249,47,6236,4.56,1.382,8.7,1.2,3.8,7.8,2018
Milwaukee Brewers,96,67,3.73,163,1461.0,1259,659,606,173,553,1428,50,6114,4.01,1.24,7.8,1.1,3.4,8.8,2018
Minnesota Twins,78,84,4.5,162,1443.1,1425,775,721,198,573,1377,59,6287,4.39,1.384,8.9,1.2,3.6,8.6,2018
New York Mets,77,85,4.07,162,1460.2,1364,707,661,185,484,1446,26,6178,3.97,1.265,8.4,1.1,3.0,8.9,2018
New York Yankees,100,62,3.78,162,1456.1,1311,669,611,177,494,1634,73,6141,3.63,1.239,8.1,1.1,3.1,10.1,2018
Oakland Athletics,97,65,3.81,162,1465.2,1303,674,621,184,474,1237,86,6099,4.18,1.212,8.0,1.1,2.9,7.6,2018
Philadelphia Phillies,80,82,4.14,162,1445.2,1366,728,665,171,500,1465,81,6138,3.83,1.291,8.5,1.1,3.1,9.1,2018
Pittsburgh Pirates,82,79,4.0,161,1434.0,1380,693,637,174,497,1336,95,6144,4.06,1.309,8.7,1.1,3.1,8.4,2018
San Diego Padres,66,96,4.4,162,1457.0,1430,767,713,185,519,1399,52,6254,4.1,1.338,8.8,1.1,3.2,8.6,2018
