Rank,Athlete,Nation,D1,E1,ND1,Total1,d2,e2,pen2,score1,total
1,Oksana Chusovitina,Uzbekistan,5.8,9.125,,14.925,5.5,9.325,,14.825,14.875
2,Tjasa Kysselef,Slovenia,5,8.9,,13.9,5,9.1,,14.1,14
3,Teja Belak,Slovenia,5.3,8.95,,14.25,5.3,8.65,-0.3,13.65,13.95
4,Paula Plichta,Poland,5,8.65,,13.65,5.2,8.55,,13.75,13.7
5,Pauline Tratz,Germany,5,9.075,,14.075,4.4,8.9,,13.3,13.687
6,Boglarka Devai,Hungary,5,8.875,,13.875,4.6,8.8,,13.4,13.637
7,Argyro Afrati,Greece,4.8,9.05,,13.85,5,8.4,,13.4,13.625
7,Ana Perez,Spain,5,8.95,,13.95,4.6,8.7,,13.3,13.625
