Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Aliya Mustafina(RUS),6.0,8.9,0.0,14.9,2013
2,Kyla Ross(USA),6.0,8.833,0.0,14.833,2013
3,Simone Biles(USA),6.1,8.233,0.0,14.333,2013
4,Vanessa Ferrari(ITA),5.7,8.6,0.0,14.3,2013
5,Carlotta Ferlito(ITA),5.9,8.383,0.0,14.283,2013
6,Shang Chunsong(CHN),6.2,7.933,0.0,14.133,2013
7,Larisa Iordache(ROU),6.3,7.633,0.0,13.933,2013
8,Anna Rodionova(RUS),5.7,7.4,0.0,13.1,2013
