Rank,Gymnast,D Score,E Score,Pen.,Total,year
1,Simone Biles,6.7,8.533,0.1,15.133,2019
2,Sunisa Lee,5.7,8.433,0.0,14.133,2019
3,Angelina Melnikova,5.8,8.266,0.0,14.066,2019
4,Flávia Saraiva,5.5,8.466,0.0,13.966,2019
5,Mélanie de Jesus dos Santos,5.5,8.433,0.1,13.833,2019
6,Roxana Popa,5.4,8.4,0.0,13.8,2019
7,Brooklyn Moors,5.3,8.4,0.1,13.6,2019
8,Lilia Akhaimova,6.0,7.8,0.3,13.5,2019
