Rank,Gymnast,D Score,E Score,Pen.,Total,year
1,Simone Biles,6.7,8.533,0.3,14.933,2018
2,Morgan Hurd,5.5,8.433,0.0,13.933,2018
3,Mai Murakami,5.7,8.166,0.0,13.866,2018
4,Angelina Melnikova,5.7,8.133,0.0,13.833,2018
5,Flávia Saraiva,5.5,8.366,0.1,13.766,2018
6,Mélanie de Jesus dos Santos,5.5,8.233,0.3,13.433,2018
7,Lilia Akhaimova,5.8,7.566,0.0,13.366,2018
8,Brooklyn Moors,5.4,7.666,0.0,13.066,2018
