Position,Gymnast,D Score,E Score,Pen.,Qual Rk,Total,year
1,Ksenia Afanasyeva(RUS),6.1,9.033,0.0,-10,15.133,2011
2,Sui Lu(CHN),6.1,8.966,0.0,-2,15.066,2011
3,Aly Raisman(USA),6.1,8.9,0.0,-1,15.0,2011
4,Yao Jinnan(CHN),6.0,8.866,0.0,-4,14.866,2011
5,Lauren Mitchell(AUS),6.3,8.433,0.0,-9,14.733,2011
6,Jordyn Wieber(USA),6.0,8.7,0.0,-3,14.7,2011
7,Elizabeth Tweddle(GBR),6.1,8.5,0.1,-7,14.5,2011
8,Diana Chelaru(ROU),5.8,8.4,0.0,-11,14.2,2011
