Rank,Gymnast,vt,ub,bb,fx,Total,year
1,Jordyn Wieber(USA),15.716,13.6,15.266,14.8,59.382,2011
2,Viktoria Komova(RUS),14.933,15.4,14.683,14.333,59.349,2011
3,Yao Jinnan(CHN),14.966,14.933,13.933,14.766,58.598,2011
4,Aly Raisman(USA),15.233,12.9,14.525,14.9,57.558,2011
5,Huang Qiushuang(CHN),14.733,14.966,13.633,14.1,57.432,2011
6,Ana Porgras(ROU),14.1,14.133,15.1,13.966,57.299,2011
7,Ksenia Afanasyeva(RUS),14.466,14.2,13.4,14.666,56.732,2011
8,Lauren Mitchell(AUS),14.6,13.133,13.933,15.033,56.699,2011
9,Hannah Whelan(GBR),14.4,13.258,14.333,14.133,56.124,2011
10,Nadine Jarosch(GER),14.3,13.733,14.0,14.0,56.033,2011
11,Elisabeth Seitz(GER),14.758,13.933,13.366,13.766,55.823,2011
12,Vanessa Ferrari(ITA),12.733,13.833,14.466,14.5,55.532,2011
13,Daniele Hypólito(BRA),14.3,12.866,14.333,13.866,55.365,2011
14,Carlotta Ferlito(ITA),14.2,12.866,14.616,13.4,55.082,2011
15,Koko Tsurumi(JPN),13.8,12.533,14.7,13.966,54.999,2011
16,Giulia Steingruber(SUI),14.866,13.433,13.4,13.233,54.932,2011
17,Céline van Gerner(NED),13.7,13.766,13.766,13.633,54.865,2011
18,Raluca Haidu(ROU),13.466,13.366,14.416,13.566,54.814,2011
19,Peng-Peng Lee(CAN),13.933,13.9,12.933,13.966,54.732,2011
20,Rie Tanaka(JPN),14.233,13.833,13.933,12.7,54.699,2011
21,Aurélie Malaussena(FRA),14.133,13.266,13.933,13.166,54.498,2011
22,Ana María Izurieta(ESP),13.966,13.466,12.933,13.366,53.731,2011
23,Emily Little(AUS),13.633,13.3,13.566,13.1,53.599,2011
24,Jessica López(VEN),14.0,10.3,14.266,13.733,52.299,2011
