Position,Gymnast,D Score,E Score,Pen.,Qual Rk,Total,year
1,Viktoria Komova(RUS),6.7,8.8,0.0,-1,15.5,2011
2,Tatiana Nabieva(RUS),6.6,8.4,0.0,-5,15.0,2011
3,Huang Qiushuang(CHN),6.7,8.133,0.0,-4,14.833,2011
4,Jordyn Wieber(USA),6.3,8.2,0.0,-7,14.5,2011
5,Gabby Douglas(USA),6.3,7.9,0.0,-6,14.2,2011
5,Asuka Teramoto(JPN),6.3,7.9,0.0,-8,14.2,2011
7,Koko Tsurumi(JPN),6.4,7.666,0.0,-3,14.066,2011
8,Youna Dufournet(FRA),6.3,6.341,0.0,-2,12.641,2011
