Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Simone Biles(USA),6.8,9.0,0.0,15.8,2015
2,Ksenia Afanasyeva(RUS),6.4,8.7,0.0,15.1,2015
3,Maggie Nichols(USA),6.2,8.8,0.0,15.0,2015
4,Shang Chunsong(CHN),6.4,8.533,0.0,14.933,2015
4,Sae Miyakawa(JPN),6.3,8.633,0.0,14.933,2015
6,Ellie Downie(GBR),6.0,8.733,0.0,14.733,2015
7,Claudia Fragapane(GBR),6.2,8.366,-0.1,14.466,2015
8,Lieke Wevers(NED),5.4,8.7,0.0,14.1,2015
