Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Mai Murakami,5.9,8.333,0.0,14.233,2017
2,Jade Carey,5.7,8.5,0.0,14.2,2017
3,Claudia Fragapane,5.6,8.333,0.0,13.933,2017
4,Thaís Fidélis,5.5,8.166,0.0,13.666,2017
5,Brooklyn Moors,5.2,8.45,0.0,13.65,2017
6,Lara Mori,5.4,7.866,0.0,13.266,2017
7,Ellie Black,5.3,7.9,-0.3,12.9,2017
8,Vanessa Ferrari,2.0,8.233,-6.3,3.933,2017
