Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Simone Biles(USA),6.4,8.7,0.0,15.1,2014
2,Bai Yawen(CHN),6.2,8.833,0.0,15.033,2014
3,Aliya Mustafina(RUS),5.5,8.666,0.0,14.166,2014
4,Asuka Teramoto(JPN),5.6,8.5,0.0,14.1,2014
5,Larisa Iordache(ROU),6.2,7.866,0.0,14.066,2014
6,Kyla Ross(USA),5.6,8.266,0.0,13.866,2014
7,Elsabeth Black(CAN),6.3,7.4,0.0,13.7,2014
8,Yao Jinnan(CHN),5.7,7.666,0.0,13.366,2014
