Position,Gymnast,D Score,E Score,Pen.,Qual Rk,Total,year
1,Sui Lu(CHN),6.6,9.266,0.0,-2,15.866,2011
2,Yao Jinnan(CHN),6.3,8.933,0.0,-4,15.233,2011
3,Jordyn Wieber(USA),6.2,8.933,0.0,-3,15.133,2011
4,Aly Raisman(USA),6.4,8.666,0.0,-6,15.066,2011
5,Amelia Racea(ROU),5.9,8.633,0.0,-7,14.533,2011
6,Yulia Inshina(RUS),5.7,8.825,0.0,-8,14.525,2011
7,Cătălina Ponor(ROU),5.7,8.541,0.0,-5,14.241,2011
8,Viktoria Komova(RUS),5.9,7.866,0.0,-1,13.766,2011
