Rank,Athlete,Nation,D,E,ND,Total
1,Nina Derwael,Belgium,6.5,8.533,,15.033
2,Fan Yilin,China,6.5,8.433,,14.933
3,Anastasiia Iliankova,Russia,6.3,8.4,,14.7
4,Jonna Adlerteg,Sweden,6,8.216,,14.216
5,Kim Bui,Germany,6,8,,14
6,Martina Rizzelli,Italy,5.1,7.916,,13.016
7,Yumika Nakamura,Japan,5.1,7.833,,12.933
8,Diana Varinska,Ukraine,5,7.4,,12.4
