Rank,Gymnast,D Score,E Score,Pen.,Total
1,Guan Chenchen(CHN),6.6,8.033,,14.633
2,Tang Xijing(CHN),6,8.233,,14.233
3,Simone Biles(USA),6.1,7.9,,14
4,Ellie Black(CAN),6.2,7.666,,13.866
5,Sunisa Lee(USA),6.4,7.466,,13.866
6,Urara Ashikawa(JPN),5.9,7.833,,13.733
7,Flávia Saraiva(BRA),5.7,7.433,,13.133
8,Vladislava Urazova(ROC),5,7.733,,12.733
