Rank,Gymnast,D Score,E Score,Pen.,Total
1,Nina Derwael(BEL),6.7,8.5,,15.2
2,Anastasia Ilyankova(ROC),6.3,8.533,,14.833
3,Sunisa Lee(USA),6.2,8.3,,14.5
4,Lu Yufei(CHN),6,8.4,,14.4
5,Elisabeth Seitz(GER),6.2,8.2,,14.4
6,Mélanie de Jesus dos Santos(FRA),6.1,7.933,,14.033
7,Fan Yilin(CHN),6.4,7.5,,13.9
8,Angelina Melnikova(ROC),5.9,7.166,,13.066
