Position,Gymnast,D Score,E Score,Penalty,Total
,Epke Zonderland (NED),7.3,8.566,,15.866
,Sam Oldham (GBR),6.5,8.366,,14.866
,Kristian Thomas (GBR),6.5,8.308,,14.808
4.0,Oliver Hegi (SUI),6.2,8.6,,14.8
5.0,Kristof Schroe (BEL),6.3,8.466,,14.766
6.0,Hamilton Sabot (FRA),6.2,8.3,,14.5
7.0,Maxim Semiankiv (UKR),5.2,6.566,,11.766
8.0,Fabian Hambuechen (GER),2.4,8.725,-6.0,5.125
