Rank,Gymnast,D Score,E Score,Pen.,Score 1,D Score.1,E Score.1,Pen..1,Score 2,Total
,Denis Ablyazin (RUS),6.0,9.200,,15.200,6.2,8.900,,15.100,15.150
,Igor Radivilov (UKR),6.0,9.000,,15.000,6.0,9.100,,15.100,15.050
,Oleg Verniaiev (UKR),6.0,9.300,,15.300,6.0,8.633,-0.1,14.533,14.916
4,Tomi Tuuha (FIN),5.6,9.400,,15.000,5.6,9.166,-0.1,14.666,14.833
4,Casimir Schmidt (NED),5.6,9.400,,15.000,5.6,9.166,-0.1,14.666,14.833
6,Andrey Medvedev (ISR),5.6,9.333,,14.933,6.0,8.633,-0.1,14.533,14.733
7,Michael Meier (SUI),5.6,8.700,-0.3,14.000,5.2,9.266,,14.466,14.233
8,Jeffrey Wammes (NED),5.6,8.000,,13.600,0.0,0.000,,0.000,6.800
Rank,Gymnast,Vault 1,Vault 1,Vault 1,Vault 1,Vault 2,Vault 2,Vault 2,Vault 2,Total
